tissue,dataset,crop,prep,cell_id,n_voxels,volume_nm3,n_surface_voxels,median_abs_H,mean_abs_H,std_H,p25_H,p75_H,frac_convex,frac_concave,median_radius_nm
Kidney,jrc_mus-kidney,crop1026,Chemical,1,96795,6194880.0,4681,0.00602497,0.00619996,0.00595056,-0.00813347,-0.0004449,0.2299,0.7701,166.0
Kidney,jrc_mus-kidney,crop1026,Chemical,2,723773,46321472.0,42709,0.00529524,0.00629735,0.00663965,-0.00786393,-0.00059898,0.2218,0.7782,188.8
Kidney,jrc_mus-kidney,crop1026,Chemical,3,110952,7100928.0,7002,0.00590221,0.00651299,0.00602089,-0.00917031,-0.001617,0.161,0.839,169.4
Kidney,jrc_mus-kidney,crop1026,Chemical,4,10447483,668638912.0,350990,0.00385602,0.00463006,0.00574532,-0.0051751,0.0017229,0.354,0.646,259.3
Kidney,jrc_mus-kidney,crop1026,Chemical,6,38339924,2453755136.0,844119,0.00409877,0.00500761,0.00649119,-0.00491968,0.00275786,0.4014,0.5986,244.0
Kidney,jrc_mus-kidney,crop1026,Chemical,7,41571,2660544.0,4677,0.00637417,0.00799511,0.00639181,-0.01132134,-0.00320806,0.0872,0.9128,156.9
Kidney,jrc_mus-kidney,crop1026,Chemical,9,221746,14191744.0,12395,0.00661203,0.00720609,0.00734513,-0.00927376,-0.00035201,0.2366,0.7634,151.2
Kidney,jrc_mus-kidney,crop1026,Chemical,10,113950,7292800.0,10602,0.00810744,0.00818045,0.00439701,-0.01058486,-0.00542716,0.049,0.951,123.3
Kidney,jrc_mus-kidney,crop1026,Chemical,11,51406,3289984.0,6189,0.00950744,0.01022642,0.00548,-0.01278299,-0.00708616,0.0423,0.9577,105.2
Kidney,jrc_mus-kidney,crop1026,Chemical,12,8786327,562324928.0,302471,0.00482295,0.00554099,0.00629884,-0.0069285,0.00082232,0.2911,0.7089,207.3
Kidney,jrc_mus-kidney,crop1026,Chemical,16,429089,27461696.0,26328,0.00297281,0.00443285,0.00614598,-0.00501827,0.00065385,0.3136,0.6864,336.4
Kidney,jrc_mus-kidney,crop1026,Chemical,17,127149,8137536.0,15140,0.00913514,0.00934398,0.00323585,-0.01092379,-0.00732595,0.0,1.0,109.5
Kidney,jrc_mus-kidney,crop1026,Chemical,19,2768307,177171648.0,110919,0.00408094,0.00470001,0.00551795,-0.00572746,0.00165087,0.3502,0.6498,245.0
Kidney,jrc_mus-kidney,crop1026,Chemical,20,1381689,88428096.0,72976,0.00524618,0.00582104,0.00562131,-0.00787959,-0.0012281,0.1858,0.8142,190.6
Kidney,jrc_mus-kidney,crop1026,Chemical,22,136697,8748608.0,12415,0.00621433,0.00730936,0.00643951,-0.01108229,-0.00162627,0.1575,0.8425,160.9
Kidney,jrc_mus-kidney,crop1026,Chemical,23,1206710,77229440.0,62726,0.00398933,0.00504238,0.00569528,-0.00669246,0.00023296,0.2662,0.7338,250.7
Kidney,jrc_mus-kidney,crop1026,Chemical,24,1688555,108067520.0,85786,0.0046553,0.00510389,0.00486543,-0.00684171,-0.00102475,0.1948,0.8052,214.8
Kidney,jrc_mus-kidney,crop1026,Chemical,25,975010,62400640.0,50328,0.00417049,0.00480161,0.00523626,-0.00624399,-0.00029492,0.2312,0.7688,239.8
Kidney,jrc_mus-kidney,crop1026,Chemical,26,64216,4109824.0,5318,0.00719042,0.00794456,0.00397512,-0.01011335,-0.00514676,0.0,1.0,139.1
Kidney,jrc_mus-kidney,crop1026,Chemical,27,307467,19677888.0,22443,0.0055881,0.00662335,0.00581593,-0.00917696,-0.00214783,0.1536,0.8464,179.0
Kidney,jrc_mus-kidney,crop1026,Chemical,28,131674,8427136.0,14311,0.00886954,0.00899737,0.00365183,-0.01099857,-0.0067971,0.0049,0.9951,112.7
Kidney,jrc_mus-kidney,crop1026,Chemical,29,137838,8821632.0,15032,0.00903271,0.00949084,0.00961218,-0.0121215,-0.00074583,0.2327,0.7673,110.7
Kidney,jrc_mus-kidney,crop1026,Chemical,30,82189,5260096.0,8432,0.00613144,0.00847466,0.00803236,-0.01336539,-0.00153612,0.1664,0.8336,163.1
Kidney,jrc_mus-kidney,crop1026,Chemical,31,125195,8012480.0,7574,0.00507015,0.00550201,0.0048214,-0.00697309,-0.00198684,0.1175,0.8825,197.2
Kidney,jrc_mus-kidney,crop1026,Chemical,33,202906,12985984.0,13005,0.00542256,0.00688276,0.00713039,-0.00924152,-0.00081552,0.2108,0.7892,184.4
Kidney,jrc_mus-kidney,crop1026,Chemical,34,81562,5219968.0,5468,0.00627251,0.00638011,0.00475285,-0.00898881,-0.00262121,0.1105,0.8895,159.4
Kidney,jrc_mus-kidney,crop1026,Chemical,35,272955,17469120.0,13305,0.00718882,0.00877753,0.01095143,-0.00794336,0.00351133,0.3173,0.6827,139.1
Kidney,jrc_mus-kidney,crop1026,Chemical,36,117644,7529216.0,10785,0.00780067,0.00789351,0.00450491,-0.01015584,-0.0051082,0.0549,0.9451,128.2
Kidney,jrc_mus-kidney,crop1026,Chemical,39,68257,4368448.0,4910,0.0057873,0.00653817,0.0051257,-0.00865626,-0.00307808,0.1134,0.8866,172.8
Kidney,jrc_mus-kidney,crop1026,Chemical,42,163460,10461440.0,13637,0.0052842,0.0066667,0.00649922,-0.00981512,-0.00116211,0.1739,0.8261,189.2
Kidney,jrc_mus-kidney,crop1027,Chemical,1,24505767,1568369088.0,675532,0.00394383,0.00479142,0.00608992,-0.00520347,0.00202247,0.373,0.627,253.6
Kidney,jrc_mus-kidney,crop1027,Chemical,2,20633993,1320575552.0,640377,0.00359373,0.00454289,0.00576628,-0.00502147,0.00179079,0.3775,0.6225,278.3
