tissue,dataset,crop,prep,status,voxel_size_nm,n_cells,mean_sa_v,median_sa_v,mean_sphericity,median_sphericity,narrow_ecs_median_nm,narrow_ecs_mean_nm,narrow_ecs_p25_nm,narrow_ecs_p75_nm,narrow_ecs_voxels,total_ecs_voxels,total_boundary_voxels,contact_frac_10nm,contact_frac_20nm,contact_frac_40nm,contact_frac_80nm,contact_frac_160nm
Kidney,jrc_mus-kidney,crop1026,Chemical,OK,"[4.0, 4.0, 4.0]",40,0.04139103,0.03644858,0.4785,0.478,26.83,36.78,12.65,51.22,35533966,35552324,2181672,1.0,1.0,1.0,1.0,1.0
Kidney,jrc_mus-kidney,crop1027,Chemical,OK,"[4.0, 4.0, 4.0]",26,0.04225635,0.04609451,0.445,0.4643,31.5,47.59,13.27,69.05,40708362,41539024,2306900,1.0,1.0,1.0,1.0,1.0
Kidney,jrc_mus-kidney,crop1028,Chemical,OK,"[4.0, 4.0, 4.0]",91,0.04863687,0.04657285,0.5373,0.5308,53.81,70.04,14.42,119.2,11840426,14332063,869763,1.0,1.0,1.0,1.0,1.0
Kidney,jrc_mus-kidney,crop1029,Chemical,OK,"[4.0, 4.0, 4.0]",89,0.05061052,0.05013031,0.518,0.5137,58.92,73.61,16.0,124.71,13071529,26840290,815203,1.0,1.0,1.0,1.0,1.0
Kidney,jrc_mus-kidney,crop1030,Chemical,OK,"[4.0, 4.0, 4.0]",27,0.03415364,0.03098223,0.4402,0.4578,6.93,9.64,4.0,12.0,10957994,10957994,2223443,1.0,1.0,1.0,1.0,1.0
Kidney,jrc_mus-kidney,crop1031,Chemical,OK,"[4.0, 4.0, 4.0]",2,0.00200433,0.00200433,0.5658,0.5658,8.0,10.69,4.0,14.97,3612809,3612809,1060831,1.0,1.0,1.0,1.0,1.0
Kidney,jrc_mus-kidney,crop1032,Chemical,OK,"[4.0, 4.0, 4.0]",25,0.02852067,0.02432054,0.4608,0.4707,16.49,23.41,5.66,33.94,12761063,12761063,1745032,1.0,1.0,1.0,1.0,1.0
Kidney,jrc_mus-kidney-4,crop1134,Rapid HPF,OK,"[8.0, 8.0, 8.0]",23,0.03178315,0.02850208,0.4377,0.4589,51.22,62.58,25.3,87.64,10393650,15864004,660919,0.0,1.0,1.0,1.0,1.0
Kidney,jrc_mus-kidney-4,crop1136,Rapid HPF,OK,"[8.0, 8.0, 8.0]",17,0.02071332,0.01662351,0.4579,0.4779,11.31,15.51,8.0,17.89,2373161,2373161,868366,0.0,1.0,1.0,1.0,1.0
Kidney,jrc_mus-kidney-4,crop1137,Rapid HPF,OK,"[8.0, 8.0, 8.0]",22,0.02993833,0.03221283,0.3839,0.3671,11.31,15.31,8.0,17.89,1325656,1325656,548113,0.0,1.0,1.0,1.0,1.0
Kidney,jrc_mus-kidney-4,crop1144,Rapid HPF,OK,"[8.0, 8.0, 8.0]",19,0.02249554,0.02338217,0.4179,0.4368,13.86,16.27,8.0,19.6,5863208,5863208,1757018,0.0,1.0,1.0,1.0,1.0
Heart,jrc_mus-heart-6,crop1145,Chemical,OK,"[8.0, 8.0, 8.0]",3,0.01211242,0.00738646,0.455,0.5335,37.52,62.87,17.89,101.51,1619281,2515797,175868,0.0,1.0,1.0,1.0,1.0
Heart,jrc_mus-heart-6,crop1146,Chemical,OK,"[8.0, 8.0, 8.0]",5,0.01051203,0.00643837,0.4243,0.4482,29.93,43.46,16.0,61.45,2016157,2024249,271304,0.0,1.0,1.0,1.0,1.0
Heart,jrc_mus-heart-6,crop1147,Chemical,OK,"[8.0, 8.0, 8.0]",3,0.00584296,0.00563348,0.4883,0.4447,29.93,34.63,13.86,50.6,902719,902719,168084,0.0,1.0,1.0,1.0,1.0
Liver,jrc_mus-liver,crop1038,Chemical,OK,"[4.0, 4.0, 4.0]",30,0.0588943,0.04931108,0.5298,0.547,40.99,55.57,17.89,81.68,31160459,35129706,1500350,1.0,1.0,1.0,1.0,1.0
Liver,jrc_mus-liver,crop1039,Chemical,OK,"[4.0, 4.0, 4.0]",15,0.05129987,0.05235332,0.5143,0.5525,36.0,57.24,9.8,93.72,10555264,12295008,1183257,1.0,1.0,1.0,1.0,1.0
Liver,jrc_mus-liver,crop1040,Chemical,OK,"[4.0, 4.0, 4.0]",24,0.05029741,0.04822314,0.5424,0.5687,32.5,46.01,12.0,70.99,14403234,14468289,1403402,1.0,1.0,1.0,1.0,1.0
Liver,jrc_mus-liver,crop1041,Chemical,OK,"[4.0, 4.0, 4.0]",24,0.06400464,0.05704096,0.5442,0.5489,28.57,40.93,14.42,54.41,16553520,17191268,1048117,1.0,1.0,1.0,1.0,1.0
Liver,jrc_mus-liver,crop1042,Chemical,OK,"[4.0, 4.0, 4.0]",24,0.05484181,0.05212005,0.5297,0.5507,18.33,29.93,8.94,42.71,11267857,11267857,1073785,1.0,1.0,1.0,1.0,1.0
Liver,jrc_mus-liver,crop1043,Chemical,OK,"[4.0, 4.0, 4.0]",40,0.06281242,0.05922961,0.5392,0.5679,21.91,29.65,9.8,41.38,17006336,17013177,1568062,1.0,1.0,1.0,1.0,1.0
Liver,jrc_mus-liver,crop1044,Chemical,OK,"[4.0, 4.0, 4.0]",26,0.07499722,0.08372345,0.5724,0.5831,35.33,45.45,16.49,65.73,14007136,14025534,740738,1.0,1.0,1.0,1.0,1.0
Liver,jrc_mus-liver-8,crop1123,Rapid HPF,OK,"[8.0, 8.0, 8.0]",2,0.00210874,0.00210874,0.6577,0.6577,11.31,17.23,8.0,24.0,202623,202623,81675,0.0,1.0,1.0,1.0,1.0
Liver,jrc_mus-liver-8,crop1124,Rapid HPF,OK,"[8.0, 8.0, 8.0]",5,0.03289894,0.04611133,0.4887,0.4815,8.0,11.5,8.0,11.31,542839,542839,291939,0.0,1.0,1.0,1.0,1.0
Liver,jrc_mus-liver-8,crop1125,Rapid HPF,OK,"[8.0, 8.0, 8.0]",3,0.00379208,0.00397506,0.561,0.5448,8.0,14.39,8.0,16.0,316251,316251,176700,0.0,1.0,1.0,1.0,1.0
Liver,jrc_mus-liver-8,crop1126,Rapid HPF,OK,"[8.0, 8.0, 8.0]",2,0.00190797,0.00190797,0.5359,0.5359,11.31,17.03,8.0,16.0,843338,843338,401848,0.0,1.0,1.0,1.0,1.0
Liver,jrc_mus-liver-8,crop1127,Rapid HPF,OK,"[8.0, 8.0, 8.0]",7,0.03237923,0.05021621,0.5556,0.5642,11.31,16.21,8.0,17.89,541640,541640,216742,0.0,1.0,1.0,1.0,1.0
Liver,jrc_mus-liver-8,crop1071,Rapid HPF,OK,"[8.0, 8.0, 8.0]",82,0.04040728,0.04062421,0.4954,0.5151,25.3,39.87,11.31,51.22,7501801,7583400,1222539,0.0,1.0,1.0,1.0,1.0
Liver,jrc_mus-liver-8,crop1072,Rapid HPF,OK,"[8.0, 8.0, 8.0]",2,0.0038016,0.0038016,0.5031,0.5031,24.0,28.74,11.31,40.0,1054491,1054491,209023,0.0,1.0,1.0,1.0,1.0
Liver,jrc_mus-liver-8,crop1073,Rapid HPF,OK,"[8.0, 8.0, 8.0]",12,0.04025811,0.04973342,0.4843,0.5192,39.19,58.7,16.0,93.3,3740357,3855452,527391,0.0,1.0,1.0,1.0,1.0
Liver,jrc_mus-liver-8,crop1074,Rapid HPF,OK,"[8.0, 8.0, 8.0]",15,0.04483908,0.05376257,0.5067,0.5319,33.94,47.37,16.0,68.35,2733822,2742593,374664,0.0,1.0,1.0,1.0,1.0
Liver,jrc_mus-liver-8,crop1075,Rapid HPF,OK,"[8.0, 8.0, 8.0]",12,0.05187039,0.05868203,0.5167,0.5096,16.0,19.91,8.0,25.3,1217817,1217817,304348,0.0,1.0,1.0,1.0,1.0
Cortex,jrc_mus-cortex-2,crop1116,Rapid HPF,OK,"[8.0, 8.0, 8.0]",201,0.03357354,0.02888168,0.404,0.4108,11.31,19.87,8.0,25.3,12784323,12784323,5180731,0.0,1.0,1.0,1.0,1.0
Cortex,jrc_mus-cortex-2,crop1117,Rapid HPF,MISSING LABELS,,,,,,,,,,,,,,,,,,
