tissue,dataset,crop,prep,cell_id,voxels,volume_nm3,volume_um3,ecs_faces,total_faces,ecs_sa_nm2,total_sa_nm2,sa_v_ratio,sphericity
Kidney,jrc_mus-kidney,crop1026,Chemical,1,96795,6194880.0,0.0062,9258,18106,148128.0,289696.0,0.02391136,0.5631
Kidney,jrc_mus-kidney,crop1026,Chemical,2,723773,46321472.0,0.0463,76760,87826,1228160.0,1405216.0,0.02651384,0.4439
Kidney,jrc_mus-kidney,crop1026,Chemical,3,110952,7100928.0,0.0071,12051,19222,192816.0,307552.0,0.02715363,0.5809
Kidney,jrc_mus-kidney,crop1026,Chemical,4,10447483,668638912.0,0.6686,625969,721060,10015504.0,11536960.0,0.01497894,0.3205
Kidney,jrc_mus-kidney,crop1026,Chemical,5,23053,1475392.0,0.0015,4414,7192,70624.0,115072.0,0.04786796,0.5447
Kidney,jrc_mus-kidney,crop1026,Chemical,6,38339924,2453755136.0,2.4538,1516122,1882014,24257952.0,30112224.0,0.00988605,0.2922
Kidney,jrc_mus-kidney,crop1026,Chemical,7,41571,2660544.0,0.0027,8225,12828,131600.0,205248.0,0.04946357,0.4524
Kidney,jrc_mus-kidney,crop1026,Chemical,8,5433,347712.0,0.0003,1855,2562,29680.0,40992.0,0.085358,0.5834
Kidney,jrc_mus-kidney,crop1026,Chemical,9,221746,14191744.0,0.0142,22772,30820,364352.0,493120.0,0.02567352,0.5749
Kidney,jrc_mus-kidney,crop1026,Chemical,10,113950,7292800.0,0.0073,19876,21270,318016.0,340320.0,0.04360685,0.5344
Kidney,jrc_mus-kidney,crop1026,Chemical,11,51406,3289984.0,0.0033,10904,12238,174464.0,195808.0,0.05302883,0.5463
Kidney,jrc_mus-kidney,crop1026,Chemical,12,8786327,562324928.0,0.5623,546145,738286,8738320.0,11812576.0,0.01553963,0.2789
Kidney,jrc_mus-kidney,crop1026,Chemical,15,32174,2059136.0,0.0021,7897,9850,126352.0,157600.0,0.06136166,0.4967
Kidney,jrc_mus-kidney,crop1026,Chemical,16,429089,27461696.0,0.0275,40860,72408,653760.0,1158528.0,0.02380625,0.38
Kidney,jrc_mus-kidney,crop1026,Chemical,17,127149,8137536.0,0.0081,26040,26632,416640.0,426112.0,0.05119977,0.4592
