tissue,dataset,crop,prep,status,voxel_size_nm,total_voronoi_faces,gap_median_nm,gap_mean_nm,gap_p25_nm,gap_p75_nm,gap_min_nm,contact_frac_10nm,contact_frac_20nm,contact_frac_40nm,contact_frac_80nm,contact_frac_160nm,contact_frac_320nm
Kidney,jrc_mus-kidney,crop1026,Chemical,OK,"[4.0, 4.0, 4.0]",1869634,82.15,102.83,49.96,137.62,12.0,0.0,0.0692,0.1701,0.4877,0.8093,0.9875
Kidney,jrc_mus-kidney,crop1027,Chemical,OK,"[4.0, 4.0, 4.0]",1647580,82.99,114.89,47.02,153.54,12.0,0.0,0.0656,0.1967,0.4831,0.764,0.9472
Kidney,jrc_mus-kidney,crop1028,Chemical,OK,"[4.0, 4.0, 4.0]",1329765,45.94,145.63,27.31,217.09,12.0,0.0,0.1475,0.4397,0.6189,0.7062,0.8201
Kidney,jrc_mus-kidney,crop1029,Chemical,OK,"[4.0, 4.0, 4.0]",1766998,80.31,278.32,31.69,421.22,12.0,0.0,0.1145,0.3372,0.4994,0.5882,0.698
Kidney,jrc_mus-kidney,crop1030,Chemical,OK,"[4.0, 4.0, 4.0]",1729741,15.31,18.84,12.0,20.0,12.0,0.0,0.7428,0.9477,0.9961,1.0,1.0
Kidney,jrc_mus-kidney,crop1031,Chemical,OK,"[4.0, 4.0, 4.0]",588685,20.94,22.94,12.0,28.58,12.0,0.0,0.415,0.9173,1.0,1.0,1.0
Kidney,jrc_mus-kidney,crop1032,Chemical,OK,"[4.0, 4.0, 4.0]",1545870,15.31,24.11,13.66,24.94,12.0,0.0,0.6923,0.8617,0.9736,0.9986,1.0
Kidney,jrc_mus-kidney-4,crop1134,Rapid HPF,OK,"[8.0, 8.0, 8.0]",682553,159.37,179.57,94.16,208.48,24.0,0.0,0.0,0.0133,0.1895,0.5025,0.958
Kidney,jrc_mus-kidney-4,crop1136,Rapid HPF,OK,"[8.0, 8.0, 8.0]",654899,41.45,46.74,32.0,54.63,24.0,0.0,0.0,0.4539,0.9169,0.9997,1.0
Kidney,jrc_mus-kidney-4,crop1137,Rapid HPF,OK,"[8.0, 8.0, 8.0]",533924,30.63,40.57,27.31,45.48,24.0,0.0,0.0,0.6854,0.9296,0.9986,1.0
