tissue,dataset,crop,prep,cell_id,n_voxels,volume_nm3,n_mesh_verts,n_mesh_faces,n_ecs_verts,median_abs_H,mean_abs_H,std_H,p25_H,p75_H,frac_convex,frac_concave,median_radius_nm
Kidney,jrc_mus-kidney,crop1026,Chemical,1,96795,6194880.0,8895,17399,7691,0.01121583,0.03642805,0.27579137,-0.01531106,0.00127719,0.2772,0.7227,89.2
Kidney,jrc_mus-kidney,crop1026,Chemical,2,723773,46321472.0,73360,145926,63564,0.00952521,0.01869905,0.25219736,-0.01354486,0.00056068,0.2648,0.7352,105.0
Kidney,jrc_mus-kidney,crop1026,Chemical,3,110952,7100928.0,11457,22506,9475,0.01012018,0.03013276,0.12688728,-0.0159998,-0.00185986,0.1993,0.8006,98.8
Kidney,jrc_mus-kidney,crop1026,Chemical,4,10447483,668638912.0,610846,1218363,578607,0.00740499,0.01200579,0.09222111,-0.00957576,0.0039541,0.3745,0.6255,135.0
Kidney,jrc_mus-kidney,crop1026,Chemical,6,38339924,2453755136.0,1467043,2925108,1395008,0.00787051,0.01346162,0.12827668,-0.00903143,0.00599178,0.42,0.58,127.1
Kidney,jrc_mus-kidney,crop1026,Chemical,7,41571,2660544.0,7544,14772,5647,0.01062639,0.01891136,0.08025763,-0.01599485,-0.00429314,0.1374,0.8626,94.1
Kidney,jrc_mus-kidney,crop1026,Chemical,9,221746,14191744.0,21209,41972,18236,0.01156049,0.02195971,0.09231935,-0.0161779,0.00104596,0.2706,0.7294,86.5
Kidney,jrc_mus-kidney,crop1026,Chemical,10,113950,7292800.0,18951,37722,14858,0.0143857,0.02017344,0.05415173,-0.01983634,-0.0089156,0.0732,0.9268,69.5
Kidney,jrc_mus-kidney,crop1026,Chemical,11,51406,3289984.0,10059,19934,6775,0.0171297,0.03333169,0.3513872,-0.02278437,-0.01197656,0.0494,0.9506,58.4
Kidney,jrc_mus-kidney,crop1026,Chemical,12,8786327,562324928.0,526870,1048276,481148,0.00906187,0.01670486,0.23539789,-0.01246805,0.00262068,0.3177,0.6823,110.4
Kidney,jrc_mus-kidney,crop1026,Chemical,16,429089,27461696.0,38790,76647,35613,0.00563336,0.01516007,0.09542986,-0.00858968,0.00203296,0.3494,0.6506,177.5
Kidney,jrc_mus-kidney,crop1026,Chemical,17,127149,8137536.0,24755,49406,18828,0.01681269,0.01947008,0.0322597,-0.0220633,-0.01207062,0.0149,0.9851,59.5
Kidney,jrc_mus-kidney,crop1026,Chemical,19,2768307,177171648.0,198133,393968,186093,0.00770652,0.02036228,1.07173165,-0.01034675,0.00383352,0.3671,0.6329,129.8
Kidney,jrc_mus-kidney,crop1026,Chemical,20,1381689,88428096.0,132969,265250,118988,0.0092699,0.01314967,0.09036616,-0.01379129,-0.00064286,0.2323,0.7677,107.9
Kidney,jrc_mus-kidney,crop1026,Chemical,22,136697,8748608.0,20825,41388,16074,0.00926839,0.01743408,0.06988762,-0.01676359,-0.00136356,0.2022,0.7978,107.9
Kidney,jrc_mus-kidney,crop1026,Chemical,23,1206710,77229440.0,111737,222116,101071,0.00738964,0.02323128,1.63660309,-0.01153572,0.00142792,0.3009,0.6991,135.3
Kidney,jrc_mus-kidney,crop1026,Chemical,24,1688555,108067520.0,152178,302778,138826,0.00864751,0.01713634,0.36881215,-0.01285614,-0.00123214,0.2129,0.7871,115.6
Kidney,jrc_mus-kidney,crop1026,Chemical,25,975010,62400640.0,90302,179758,84436,0.00770261,0.01280154,0.07121195,-0.01166806,0.00025969,0.259,0.741,129.8
Kidney,jrc_mus-kidney,crop1026,Chemical,26,64216,4109824.0,9513,18758,7800,0.01295403,0.02278367,0.07520238,-0.01811551,-0.00884427,0.0015,0.9985,77.2
Kidney,jrc_mus-kidney,crop1026,Chemical,27,307467,19677888.0,39244,78002,32582,0.00970367,0.01823401,0.08577332,-0.01522134,-0.00254608,0.185,0.815,103.1
Kidney,jrc_mus-kidney,crop1026,Chemical,28,131674,8427136.0,25787,51432,19386,0.01619726,0.01999739,0.0407687,-0.02149754,-0.01115834,0.0303,0.9697,61.7
Kidney,jrc_mus-kidney,crop1026,Chemical,29,137838,8821632.0,22233,44090,15772,0.01600493,0.03659699,0.14995095,-0.02138976,0.00148527,0.2701,0.7299,62.5
Kidney,jrc_mus-kidney,crop1026,Chemical,30,82189,5260096.0,13999,27582,10335,0.00837859,0.01982892,0.07601095,-0.01455484,0.00086125,0.2752,0.7248,119.4
Kidney,jrc_mus-kidney,crop1026,Chemical,31,125195,8012480.0,13209,25986,11743,0.00964049,0.02048244,0.09324492,-0.01354422,-0.00379687,0.1254,0.8745,103.7
Kidney,jrc_mus-kidney,crop1026,Chemical,33,202906,12985984.0,21931,43288,18391,0.00889964,0.0238933,0.44763855,-0.01373408,0.00098991,0.2787,0.7213,112.4
Kidney,jrc_mus-kidney,crop1026,Chemical,34,81562,5219968.0,9233,18112,8051,0.01191853,0.03187886,0.15718376,-0.01795898,-0.00410901,0.137,0.863,83.9
Kidney,jrc_mus-kidney,crop1026,Chemical,35,272955,17469120.0,22385,44015,18944,0.01281652,0.03385649,0.2239265,-0.01418803,0.00671693,0.328,0.6719,78.0
Kidney,jrc_mus-kidney,crop1026,Chemical,36,117644,7529216.0,18579,36886,15187,0.01465041,0.02090338,0.06251983,-0.01962055,-0.00861343,0.0855,0.9145,68.3
Kidney,jrc_mus-kidney,crop1026,Chemical,39,68257,4368448.0,8790,17180,7421,0.01101242,0.02705375,0.09847642,-0.01546017,-0.00443208,0.1439,0.8561,90.8
Kidney,jrc_mus-kidney,crop1026,Chemical,42,163460,10461440.0,20905,41242,16881,0.00847362,0.0216668,0.23998759,-0.01499563,-0.00062714,0.2284,0.7716,118.0
Kidney,jrc_mus-kidney,crop1027,Chemical,1,24505767,1568369088.0,1158038,2309116,1100839,0.00760097,0.01468376,0.68004242,-0.0095486,0.00464954,0.3951,0.6049,131.6
Kidney,jrc_mus-kidney,crop1027,Chemical,2,20633993,1320575552.0,1146453,2286651,1083650,0.00674193,0.01227414,0.41375824,-0.0087626,0.00412065,0.4026,0.5974,148.3
Kidney,jrc_mus-kidney,crop1027,Chemical,7,53280,3409920.0,11409,22232,8018,0.01780139,0.02346727,0.0518997,-0.02353186,-0.01215419,0.0118,0.9882,56.2
Kidney,jrc_mus-kidney,crop1027,Chemical,8,127767,8177088.0,15124,29681,13217,0.0066148,0.07427685,6.34083115,-0.01099095,-0.00019282,0.2437,0.7563,151.2
Kidney,jrc_mus-kidney,crop1027,Chemical,9,43548,2787072.0,7724,15106,5878,0.0118804,0.03546302,0.30186616,-0.01757584,-0.00659571,0.0873,0.9127,84.2
Kidney,jrc_mus-kidney,crop1027,Chemical,11,148576,9508864.0,28536,56934,21739,0.01568031,0.0198172,0.07766019,-0.02100082,-0.01135509,0.0214,0.9786,63.8
