tissue,dataset,crop,prep,cell_id,voxels_8nm,volume_nm3,volume_um3,ecs_faces,total_faces,ecs_sa_nm2,total_sa_nm2,sa_v_ratio,sphericity
Kidney,jrc_mus-kidney,crop1026,Chemical,1,12658,6480896.0,0.0065,2365,4622,151360.0,295808.0,0.0233548,1.1106
Kidney,jrc_mus-kidney,crop1026,Chemical,2,90374,46271488.0,0.0463,19179,21946,1227456.0,1404544.0,0.02652726,0.5078
Kidney,jrc_mus-kidney,crop1026,Chemical,3,14107,7222784.0,0.0072,3043,4828,194752.0,308992.0,0.02696356,0.9278
Kidney,jrc_mus-kidney,crop1026,Chemical,4,1301805,666524160.0,0.6665,156035,179792,9986240.0,11506688.0,0.01498256,0.3695
Kidney,jrc_mus-kidney,crop1026,Chemical,5,3064,1568768.0,0.0016,1133,1840,72512.0,117760.0,0.04622226,0.9004
Kidney,jrc_mus-kidney,crop1026,Chemical,6,4775287,2444946944.0,2.4449,378228,469278,24206592.0,30033792.0,0.00990066,0.3626
Kidney,jrc_mus-kidney,crop1026,Chemical,7,5481,2806272.0,0.0028,2088,3250,133632.0,208000.0,0.04761905,0.72
Kidney,jrc_mus-kidney,crop1026,Chemical,8,717,367104.0,0.0004,477,648,30528.0,41472.0,0.083159,0.8122
Kidney,jrc_mus-kidney,crop1026,Chemical,9,27884,14276608.0,0.0143,5713,7724,365632.0,494336.0,0.02561057,0.7784
Kidney,jrc_mus-kidney,crop1026,Chemical,10,14179,7259648.0,0.0073,4949,5296,316736.0,338944.0,0.04362966,0.5724
Kidney,jrc_mus-kidney,crop1026,Chemical,11,6502,3329024.0,0.0033,2732,3064,174848.0,196096.0,0.0525223,0.6166
Kidney,jrc_mus-kidney,crop1026,Chemical,12,1103010,564741120.0,0.5647,136652,184798,8745728.0,11827072.0,0.01548626,0.3778
Kidney,jrc_mus-kidney,crop1026,Chemical,13,137,70144.0,0.0001,166,258,10624.0,16512.0,0.15145985,0.7742
Kidney,jrc_mus-kidney,crop1026,Chemical,14,255,130560.0,0.0001,202,334,12928.0,21376.0,0.09901961,0.9627
Kidney,jrc_mus-kidney,crop1026,Chemical,15,4147,2123264.0,0.0021,1991,2480,127424.0,158720.0,0.06001326,0.627
Kidney,jrc_mus-kidney,crop1026,Chemical,16,55354,28341248.0,0.0283,10270,18218,657280.0,1165952.0,0.02319164,0.6839
Kidney,jrc_mus-kidney,crop1026,Chemical,17,15913,8147456.0,0.0081,6510,6660,416640.0,426240.0,0.05113743,0.47
Kidney,jrc_mus-kidney,crop1026,Chemical,18,1324,677888.0,0.0007,889,1374,56896.0,87936.0,0.08393127,0.6559
Kidney,jrc_mus-kidney,crop1026,Chemical,19,347226,177779712.0,0.1778,50974,62686,3262336.0,4011904.0,0.01835044,0.4687
Kidney,jrc_mus-kidney,crop1026,Chemical,20,172924,88537088.0,0.0885,34201,37470,2188864.0,2398080.0,0.02472257,0.4389
Kidney,jrc_mus-kidney,crop1026,Chemical,21,2083,1066496.0,0.0011,1156,1426,73984.0,91264.0,0.0693711,0.6823
Kidney,jrc_mus-kidney,crop1026,Chemical,22,17090,8750080.0,0.0088,5449,6284,348736.0,402176.0,0.03985518,0.5888
Kidney,jrc_mus-kidney,crop1026,Chemical,23,151744,77692928.0,0.0777,28577,33178,1828928.0,2123392.0,0.02354047,0.4814
Kidney,jrc_mus-kidney,crop1026,Chemical,24,212347,108721664.0,0.1087,39152,45784,2505728.0,2930176.0,0.02304718,0.4396
Kidney,jrc_mus-kidney,crop1026,Chemical,25,123078,63015936.0,0.063,23286,27920,1490304.0,1786880.0,0.02364964,0.5139
Kidney,jrc_mus-kidney,crop1026,Chemical,26,8175,4185600.0,0.0042,2504,3452,160256.0,220928.0,0.03828746,0.7837
Kidney,jrc_mus-kidney,crop1026,Chemical,27,38850,19891200.0,0.0199,10272,12018,657408.0,769152.0,0.03305019,0.54
Kidney,jrc_mus-kidney,crop1026,Chemical,28,16545,8471040.0,0.0085,6817,7046,436288.0,450944.0,0.05150348,0.4606
Kidney,jrc_mus-kidney,crop1026,Chemical,29,17439,8928768.0,0.0089,6797,7594,435008.0,486016.0,0.04871982,0.4785
Kidney,jrc_mus-kidney,crop1026,Chemical,30,10604,5429248.0,0.0054,3899,5310,249536.0,339840.0,0.04596143,0.5987
Kidney,jrc_mus-kidney,crop1026,Chemical,31,15775,8076800.0,0.0081,3487,5282,223168.0,338048.0,0.02763074,0.8723
Kidney,jrc_mus-kidney,crop1026,Chemical,32,506,259072.0,0.0003,397,598,25408.0,38272.0,0.09807312,0.7735
Kidney,jrc_mus-kidney,crop1026,Chemical,33,26026,13325312.0,0.0133,5922,8640,379008.0,552960.0,0.02844271,0.7172
