tissue,dataset,crop,prep,status,voxel_size_nm,total_ecs_voxels,full_median_nm,full_mean_nm,narrow_voxels,narrow_fraction,narrow_p10_nm,narrow_p25_nm,narrow_median_nm,narrow_mean_nm,narrow_p75_nm,narrow_p90_nm,narrow_std_nm,frac_below_10nm,frac_below_20nm,frac_below_30nm,frac_below_50nm,frac_below_75nm,frac_below_100nm
Kidney,jrc_mus-kidney,crop1026,Chemical,OK,"[4.0, 4.0, 4.0]",35552324,26.83,36.87,35533966,0.9995,5.66,12.65,26.83,36.78,51.22,81.88,31.64,0.1948,0.3742,0.5415,0.7413,0.8762,0.9443
Kidney,jrc_mus-kidney,crop1027,Chemical,OK,"[4.0, 4.0, 4.0]",41539024,32.5,51.28,40708362,0.98,5.66,13.27,31.5,47.59,69.05,116.21,44.49,0.1919,0.3532,0.4856,0.6461,0.775,0.8595
Kidney,jrc_mus-kidney,crop1028,Chemical,OK,"[4.0, 4.0, 4.0]",14332063,80.1,106.51,11840426,0.8261,5.66,14.42,53.81,70.04,119.2,163.66,59.8,0.1907,0.3118,0.3872,0.483,0.5857,0.68
Kidney,jrc_mus-kidney,crop1029,Chemical,OK,"[4.0, 4.0, 4.0]",26840290,208.31,251.05,13071529,0.487,5.66,16.0,58.92,73.61,124.71,168.95,61.1,0.1755,0.2899,0.3652,0.4619,0.566,0.6606
Kidney,jrc_mus-kidney,crop1030,Chemical,OK,"[4.0, 4.0, 4.0]",10957994,6.93,9.64,10957994,1.0,4.0,4.0,6.93,9.64,12.0,20.0,6.98,0.6798,0.8942,0.9828,0.9994,1.0,1.0
Kidney,jrc_mus-kidney,crop1031,Chemical,OK,"[4.0, 4.0, 4.0]",3612809,8.0,10.69,3612809,1.0,4.0,4.0,8.0,10.69,14.97,21.54,7.0,0.5906,0.8554,0.989,1.0,1.0,1.0
Kidney,jrc_mus-kidney,crop1032,Chemical,OK,"[4.0, 4.0, 4.0]",12761063,16.49,23.41,12761063,1.0,4.0,5.66,16.49,23.41,33.94,54.41,21.26,0.3729,0.5581,0.7083,0.8751,0.9705,0.9934
Kidney,jrc_mus-kidney-4,crop1134,Rapid HPF,OK,"[8.0, 8.0, 8.0]",15864004,89.44,236.77,10393650,0.6552,11.31,25.3,51.22,62.58,87.64,131.21,45.75,0.066,0.1933,0.3012,0.4827,0.673,0.8104
Kidney,jrc_mus-kidney-4,crop1136,Rapid HPF,OK,"[8.0, 8.0, 8.0]",2373161,11.31,15.51,2373161,1.0,8.0,8.0,11.31,15.51,17.89,27.71,9.51,0.3683,0.7994,0.923,0.9892,0.9999,1.0
Kidney,jrc_mus-kidney-4,crop1137,Rapid HPF,OK,"[8.0, 8.0, 8.0]",1325656,11.31,15.31,1325656,1.0,8.0,8.0,11.31,15.31,17.89,29.93,10.47,0.4194,0.7931,0.9104,0.9847,0.9991,1.0
