[1/52] crop1026 OK (174,992 faces x3)
[2/52] crop1027 OK (139,606 faces x3)
[3/52] crop1028 OK (11,618 faces x3)
[4/52] crop1029 OK (10,336 faces x3)
[5/52] crop1030 OK (69,094 faces x3)
[6/52] crop1031 OK (101,984 faces x3)
[7/52] crop1032 OK (61,204 faces x3)
[8/52] crop1134 OK (132,778 faces x3)
[9/52] crop1135 OK (109,240 faces x3)
[10/52] crop1136 OK (206,590 faces x3)
[11/52] crop1137 OK (118,132 faces x3)
[12/52] crop1138 OK (334,494 faces x3)
[13/52] crop1144 OK (664,358 faces x3)
[14/52] crop1145 OK (70,028 faces x3)
[15/52] crop1146 OK (48,408 faces x3)
[16/52] crop1147 OK (67,056 faces x3)
[17/52] crop1148 OK (152,138 faces x3)
[18/52] crop1149 OK (66,666 faces x3)
[19/52] crop1150 OK (111,126 faces x3)
[20/52] crop1151 OK (149,310 faces x3)
[21/52] crop1152 OK (87,878 faces x3)
[22/52] crop1038 OK (196,152 faces x3)
[23/52] crop1039 OK (67,704 faces x3)
[24/52] crop1040 OK (99,178 faces x3)
[25/52] crop1041 OK (113,574 faces x3)
[26/52] crop1042 OK (84,250 faces x3)
[27/52] crop1043 OK (115,804 faces x3)
[28/52] crop1044 OK (111,024 faces x3)
[29/52] crop1118 OK (40,552 faces x3)
[30/52] crop1119 OK (41,838 faces x3)
[31/52] crop1120 OK (41,368 faces x3)
[32/52] crop1121 OK (43,214 faces x3)
[33/52] crop1122 OK (42,722 faces x3)
[34/52] crop1071 OK (382,212 faces x3)
[35/52] crop1072 OK (88,372 faces x3)
[36/52] crop1073 OK (173,224 faces x3)
[37/52] crop1074 OK (108,910 faces x3)
[38/52] crop1075 OK (102,966 faces x3)
[39/52] crop1123 OK (31,978 faces x3)
[40/52] crop1124 OK (111,350 faces x3)
[41/52] crop1125 OK (64,634 faces x3)
[42/52] crop1126 OK (128,146 faces x3)
[43/52] crop1127 OK (59,044 faces x3)
[44/52] crop1116 OK (201,654 faces x3)
[45/52] crop1033 OK (18,224 faces x3)
[46/52] crop1034 OK (6,594 faces x3)
[47/52] crop1035 OK (17,802 faces x3)
[48/52] crop1036 OK (12,952 faces x3)
[49/52] crop1037 OK (20,420 faces x3)
[50/52] crop1045 OK (11,210 faces x3)
[51/52] crop1046 OK (13,466 faces x3)
[52/52] crop1141 OK (108,956 faces x3)

Done. Interactive gallery: /Users/weigela/workspace/ecs-analysis/figures/membranes/membranes_3d.html
