[1/52] crop1026 OK (180,172 faces)
[2/52] crop1027 OK (144,022 faces)
[3/52] crop1028 OK (12,306 faces)
[4/52] crop1029 OK (10,426 faces)
[5/52] crop1030 OK (72,526 faces)
[6/52] crop1031 OK (108,060 faces)
[7/52] crop1032 OK (63,814 faces)
[8/52] crop1134 OK (141,924 faces)
[9/52] crop1135 OK (114,326 faces)
[10/52] crop1136 OK (212,600 faces)
[11/52] crop1137 OK (123,220 faces)
[12/52] crop1138 OK (346,498 faces)
[13/52] crop1144 OK (684,176 faces)
[14/52] crop1145 OK (72,914 faces)
[15/52] crop1146 OK (51,164 faces)
[16/52] crop1147 OK (69,192 faces)
[17/52] crop1148 OK (158,604 faces)
[18/52] crop1149 OK (69,922 faces)
[19/52] crop1150 OK (115,394 faces)
[20/52] crop1151 OK (153,802 faces)
[21/52] crop1152 OK (91,788 faces)
[22/52] crop1038 OK (204,258 faces)
[23/52] crop1039 OK (71,620 faces)
[24/52] crop1040 OK (103,570 faces)
[25/52] crop1041 OK (117,856 faces)
[26/52] crop1042 OK (87,632 faces)
[27/52] crop1043 OK (119,810 faces)
[28/52] crop1044 OK (115,014 faces)
[29/52] crop1118 OK (43,008 faces)
[30/52] crop1119 OK (44,486 faces)
[31/52] crop1120 OK (43,456 faces)
[32/52] crop1121 OK (44,788 faces)
Context leak detected, CoreAnalytics returned false
[33/52] crop1122 OK (45,646 faces)
[34/52] crop1071 OK (391,110 faces)
[35/52] crop1072 OK (93,474 faces)
[36/52] crop1073 OK (178,416 faces)
[37/52] crop1074 OK (113,964 faces)
[38/52] crop1075 OK (106,856 faces)
[39/52] crop1123 OK (33,132 faces)
[40/52] crop1124 OK (113,732 faces)
[41/52] crop1125 OK (66,204 faces)
[42/52] crop1126 OK (130,404 faces)
[43/52] crop1127 OK (60,978 faces)
[44/52] crop1116 OK (205,360 faces)
[45/52] crop1033 OK (25,054 faces)
[46/52] crop1034 OK (7,646 faces)
[47/52] crop1035 OK (19,944 faces)
[48/52] crop1036 OK (14,170 faces)
[49/52] crop1037 OK (21,856 faces)
Context leak detected, CoreAnalytics returned false
[50/52] crop1045 OK (12,202 faces)
[51/52] crop1046 OK (15,310 faces)
[52/52] crop1141 OK (110,018 faces)

Done. /Users/weigela/workspace/ecs-analysis/figures/membranes/membranes_3d.html
