[1/52] crop1026 OK (162,776 faces)
[2/52] crop1027 OK (129,021 faces)
[3/52] crop1028 OK (10,394 faces)
[4/52] crop1029 OK (10,170 faces)
[5/52] crop1030 OK (61,003 faces)
[6/52] crop1031 OK (97,903 faces)
[7/52] crop1032 OK (55,646 faces)
[8/52] crop1134 OK (129,094 faces)
[9/52] crop1135 OK (98,984 faces)
[10/52] crop1136 OK (192,564 faces)
[11/52] crop1137 OK (105,613 faces)
[12/52] crop1138 OK (306,404 faces)
[13/52] crop1144 OK (622,320 faces)
[14/52] crop1145 OK (64,771 faces)
[15/52] crop1146 OK (44,936 faces)
[16/52] crop1147 OK (62,354 faces)
[17/52] crop1148 OK (141,304 faces)
[18/52] crop1149 OK (60,829 faces)
[19/52] crop1150 OK (101,052 faces)
[20/52] crop1151 OK (138,389 faces)
[21/52] crop1152 OK (82,682 faces)
[22/52] crop1038 OK (180,024 faces)
[23/52] crop1039 OK (62,970 faces)
[24/52] crop1040 OK (96,097 faces)
[25/52] crop1041 OK (108,057 faces)
[26/52] crop1042 OK (80,631 faces)
[27/52] crop1043 OK (110,817 faces)
[28/52] crop1044 OK (102,152 faces)
[29/52] crop1118 OK (34,401 faces)
[30/52] crop1119 OK (36,853 faces)
[31/52] crop1120 OK (36,766 faces)
[32/52] crop1121 OK (39,789 faces)
Context leak detected, CoreAnalytics returned false
[33/52] crop1122 OK (40,354 faces)
[34/52] crop1071 OK (360,072 faces)
[35/52] crop1072 OK (83,069 faces)
[36/52] crop1073 OK (165,510 faces)
[37/52] crop1074 OK (103,430 faces)
[38/52] crop1075 OK (99,083 faces)
[39/52] crop1123 OK (28,893 faces)
[40/52] crop1124 OK (105,775 faces)
[41/52] crop1125 OK (60,008 faces)
[42/52] crop1126 OK (121,784 faces)
[43/52] crop1127 OK (54,519 faces)
[44/52] crop1116 OK (193,740 faces)
[45/52] crop1033 OK (19,700 faces)
[46/52] crop1034 OK (7,060 faces)
[47/52] crop1035 OK (15,431 faces)
[48/52] crop1036 OK (12,206 faces)
[49/52] crop1037 OK (17,515 faces)
Context leak detected, CoreAnalytics returned false
[50/52] crop1045 OK (9,177 faces)
[51/52] crop1046 OK (11,343 faces)
[52/52] crop1141 OK (106,668 faces)

Done. /Users/weigela/workspace/ecs-analysis/figures/membranes/membranes_3d.html
