crop,tissue,prep,region_group,anatomy,native_voxel_nm,analysis_voxel_nm,run,metric_family,metric,value
crop1123,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,total_voxels,8000000.0
crop1123,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,ecs_voxels,202623.0
crop1123,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,ecs_primary_voxels,202623.0
crop1123,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1123,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,cell_voxels,7797377.0
crop1123,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,ecs_fraction,0.025327875
crop1123,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,cell_fraction,0.974672125
crop1123,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,ecs_volume_um3,0.103742976
crop1123,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,cell_volume_um3,3.992257024
crop1123,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,total_volume_um3,4.096
crop1125,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,total_voxels,10000000.0
crop1125,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_voxels,316251.0
crop1125,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_primary_voxels,316251.0
crop1125,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1125,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,cell_voxels,9683749.0
crop1125,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_fraction,0.0316251
crop1125,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,cell_fraction,0.9683749
crop1125,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_volume_um3,0.161920512
crop1125,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,cell_volume_um3,4.958079488
crop1125,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,total_volume_um3,5.12
crop1147,Heart,Chemical,Intercalated disc,Intercalated disc,8.0,8.0,native,volume_fraction,total_voxels,8000000.0
crop1147,Heart,Chemical,Intercalated disc,Intercalated disc,8.0,8.0,native,volume_fraction,ecs_voxels,902719.0
crop1147,Heart,Chemical,Intercalated disc,Intercalated disc,8.0,8.0,native,volume_fraction,ecs_primary_voxels,902719.0
crop1147,Heart,Chemical,Intercalated disc,Intercalated disc,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1147,Heart,Chemical,Intercalated disc,Intercalated disc,8.0,8.0,native,volume_fraction,cell_voxels,7097281.0
crop1147,Heart,Chemical,Intercalated disc,Intercalated disc,8.0,8.0,native,volume_fraction,ecs_fraction,0.112839875
crop1147,Heart,Chemical,Intercalated disc,Intercalated disc,8.0,8.0,native,volume_fraction,cell_fraction,0.887160125
crop1147,Heart,Chemical,Intercalated disc,Intercalated disc,8.0,8.0,native,volume_fraction,ecs_volume_um3,0.462192128
crop1147,Heart,Chemical,Intercalated disc,Intercalated disc,8.0,8.0,native,volume_fraction,cell_volume_um3,3.633807872
crop1147,Heart,Chemical,Intercalated disc,Intercalated disc,8.0,8.0,native,volume_fraction,total_volume_um3,4.096
crop1145,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,total_voxels,8000000.0
crop1145,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,ecs_voxels,2515797.0
crop1145,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,ecs_primary_voxels,2515797.0
crop1145,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1145,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,cell_voxels,5484203.0
crop1145,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,ecs_fraction,0.314474625
crop1145,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,cell_fraction,0.685525375
crop1145,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,ecs_volume_um3,1.288088064
crop1145,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,cell_volume_um3,2.807911936
crop1145,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,total_volume_um3,4.096
crop1127,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,total_voxels,13500000.0
crop1127,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_voxels,541640.0
crop1127,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_primary_voxels,541640.0
crop1127,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1127,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,cell_voxels,12958360.0
crop1127,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_fraction,0.04012148148148148
crop1127,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,cell_fraction,0.9598785185185185
crop1127,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_volume_um3,0.27731968
crop1127,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,cell_volume_um3,6.63468032
crop1127,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,total_volume_um3,6.912
crop1146,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,total_voxels,10000000.0
crop1146,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,ecs_voxels,2024249.0
crop1146,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,ecs_primary_voxels,2024249.0
crop1146,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1146,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,cell_voxels,7975751.0
crop1146,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,ecs_fraction,0.2024249
crop1146,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,cell_fraction,0.7975751
crop1146,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,ecs_volume_um3,1.036415488
crop1146,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,cell_volume_um3,4.083584512
crop1146,Heart,Chemical,Cardiac interstitial,Interstitial,8.0,8.0,native,volume_fraction,total_volume_um3,5.12
crop1072,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,total_voxels,27000000.0
crop1072,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_voxels,1054491.0
crop1072,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_primary_voxels,1054491.0
crop1072,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1072,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,cell_voxels,25945509.0
crop1072,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_fraction,0.03905522222222222
crop1072,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,cell_fraction,0.9609447777777778
crop1072,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_volume_um3,0.539899392
crop1072,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,cell_volume_um3,13.284100608
crop1072,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,total_volume_um3,13.824
crop1124,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,total_voxels,28000000.0
crop1124,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_voxels,542839.0
crop1124,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_primary_voxels,542839.0
crop1124,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1124,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,cell_voxels,27457161.0
crop1124,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_fraction,0.019387107142857143
