crop,tissue,prep,region_group,voxel_nm,n_ecs_voxels,n_narrow_voxels,narrow_fraction,full_percentiles_nm_p10,full_percentiles_nm_p25,full_percentiles_nm_p50,full_percentiles_nm_p75,full_percentiles_nm_p90,narrow_percentiles_nm_p10,narrow_percentiles_nm_p25,narrow_percentiles_nm_p50,narrow_percentiles_nm_p75,narrow_percentiles_nm_p90,narrow_mean_nm,narrow_std_nm,native_voxel_nm,analysis_voxel_nm
crop1145,Heart,Chemical,Cardiac interstitial,16.0,314853,200751,0.6376023096492649,16.0,32.0,114.2628548566856,286.66356587470267,453.3960740897521,16.0,22.627416997969522,39.191835884530846,102.44998779892558,158.39191898578665,65.8985230973016,54.42307000764424,8.0,16.0
crop1147,Heart,Chemical,Intercalated disc,16.0,112083,112083,1.0,16.0,16.0,35.77708763999664,53.0659966456864,69.74238309665078,16.0,16.0,35.77708763999664,53.0659966456864,69.74238309665078,38.489206342116724,22.30897428769633,8.0,16.0
crop1146,Heart,Chemical,Cardiac interstitial,16.0,251457,250398,0.9957885443634498,16.0,16.0,35.77708763999664,65.96969000988257,102.44998779892558,16.0,16.0,35.77708763999664,65.96969000988257,102.44998779892558,47.0282732102289,35.99801131322446,8.0,16.0
crop1028,Kidney,Chemical,PCT brush border,16.0,223664,183485,0.8203600042921525,16.0,22.627416997969522,81.58431221748455,170.0823330037544,256.4995126701024,16.0,16.0,57.688820407423826,120.797350964332,163.95121225535357,74.01542689561919,57.289333166212224,4.0,16.0
crop1044,Liver,Chemical,Hepatocyte lateral,16.0,217934,217561,0.9982884726568594,16.0,22.627416997969522,39.191835884530846,67.88225099390856,102.44998779892558,16.0,22.627416997969522,39.191835884530846,67.88225099390856,102.44998779892558,50.374439308072546,35.19058578766153,4.0,16.0
crop1029,Kidney,Chemical,PCT brush border,16.0,419330,201838,0.4813345098132736,16.0,65.96969000988257,211.0544953323667,391.9183588453085,570.8660087971607,16.0,22.627416997969522,59.86651818838306,125.98412598418898,170.0823330037544,77.38884348110268,58.566674836229026,4.0,16.0
crop1039,Liver,Chemical,Bile canaliculus,16.0,191368,163202,0.8528176079595334,16.0,16.0,57.688820407423826,143.10835055998655,237.8570999570961,16.0,16.0,39.191835884530846,96.0,150.94369811290565,62.34017698811758,52.88117688201306,4.0,16.0
crop1043,Liver,Chemical,Space of Disse,16.0,264194,264005,0.999284616607493,16.0,16.0,27.712812921102035,48.0,67.88225099390856,16.0,16.0,27.712812921102035,48.0,67.88225099390856,35.56362538094744,24.215442836131594,4.0,16.0
crop1041,Liver,Chemical,Space of Disse,16.0,268810,257898,0.9594062720880919,16.0,22.627416997969522,35.77708763999664,65.96969000988257,117.57550765359255,16.0,16.0,35.77708763999664,57.688820407423826,96.0,46.13314223466834,36.79613799950023,4.0,16.0
crop1036,Cortex,Chemical,,16.0,13386,13386,1.0,16.0,16.0,16.0,16.0,22.627416997969522,16.0,16.0,16.0,16.0,22.627416997969522,17.045256756712668,2.816850045798363,2.0,16.0
crop1042,Liver,Chemical,Bile canaliculus,16.0,174158,174158,1.0,16.0,16.0,22.627416997969522,48.0,78.38367176906169,16.0,16.0,22.627416997969522,48.0,78.38367176906169,35.96547030630483,26.83775296968125,4.0,16.0
crop1031,Kidney,Chemical,PCT lateral,16.0,55872,55872,1.0,16.0,16.0,16.0,16.0,27.712812921102035,16.0,16.0,16.0,16.0,27.712812921102035,18.434449161480927,5.11196028448165,4.0,16.0
crop1040,Liver,Chemical,Bile canaliculus,16.0,223045,221977,0.9952117285749512,16.0,16.0,35.77708763999664,75.04665215717488,113.13708498984761,16.0,16.0,35.77708763999664,75.04665215717488,112.0,51.357784961489415,39.34616864854759,4.0,16.0
crop1035,Cortex,Chemical,,16.0,10309,10309,1.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.72956380347341,2.8427701025546885,2.0,16.0
