crop,tissue,prep,region_group,voxel_nm,n_cells_total,n_cells_passing,total_cell_volume_nm3,total_ecs_facing_sa_nm2,total_cell_cell_sa_nm2,total_outer_sa_nm2,cell_density_per_um3,sa_v_ecs_per_nm,native_voxel_nm,analysis_voxel_nm
crop1145,Heart,Chemical,Cardiac interstitial,16.0,3,3,2806362112.0,20512256.0,0.0,10176512.0,0.732421875,0.007309197880162943,8.0,16.0
crop1147,Heart,Chemical,Intercalated disc,16.0,3,3,3636908032.0,19692544.0,32768.0,13992960.0,0.732421875,0.005414638980895737,8.0,16.0
crop1146,Heart,Chemical,Cardiac interstitial,16.0,5,5,4090032128.0,31636736.0,1536.0,15292672.0,0.9765625,0.007735082515224682,8.0,16.0
crop1028,Kidney,Chemical,PCT brush border,16.0,104,67,585920512.0,20720896.0,804352.0,2865408.0,43.619791666666664,0.0353646878298741,4.0,16.0
crop1044,Liver,Chemical,Hepatocyte lateral,16.0,41,6,3185668096.0,20004864.0,25344.0,12565760.0,1.46484375,0.006279644770627103,4.0,16.0
crop1029,Kidney,Chemical,PCT brush border,16.0,97,70,560713728.0,22534144.0,527872.0,2363904.0,30.381944444444446,0.040188322266295574,4.0,16.0
crop1039,Liver,Chemical,Bile canaliculus,16.0,19,6,3298377728.0,29342976.0,1903872.0,12870656.0,1.46484375,0.008896184251702539,4.0,16.0
crop1043,Liver,Chemical,Space of Disse,16.0,81,17,2991132672.0,42066432.0,1086976.0,12051968.0,4.150390625,0.014063713185905784,4.0,16.0
crop1041,Liver,Chemical,Space of Disse,16.0,50,11,2977837056.0,28319232.0,173312.0,10940672.0,2.685546875,0.009510000536443053,4.0,16.0
crop1036,Cortex,Chemical,,16.0,14,12,454651904.0,7176192.0,1001984.0,3317248.0,23.4375,0.015783925981315148,2.0,16.0
crop1042,Liver,Chemical,Bile canaliculus,16.0,24,15,3372544000.0,29355776.0,12800.0,13766912.0,3.662109375,0.008704341885532109,4.0,16.0
crop1031,Kidney,Chemical,PCT lateral,16.0,2,2,15822348288.0,21385984.0,2343424.0,41337088.0,0.12460127591706538,0.0013516314778773753,4.0,16.0
crop1040,Liver,Chemical,Bile canaliculus,16.0,27,14,3166162944.0,35468032.0,2066176.0,13940736.0,3.41796875,0.011202213097469693,4.0,16.0
crop1035,Cortex,Chemical,,16.0,20,12,926511104.0,6961152.0,1183488.0,5351168.0,12.292670185626532,0.007513295814747191,2.0,16.0
crop1034,Cortex,Chemical,,16.0,24,20,462917632.0,7923712.0,3835648.0,3433216.0,39.0625,0.017116893918614012,2.0,16.0
crop1038,Liver,Chemical,Space of Disse,16.0,61,17,1829408768.0,40654848.0,38144.0,7153408.0,4.150390625,0.0222229436696348,4.0,16.0
crop1032,Kidney,Chemical,PCT base,16.0,25,23,2855497728.0,49860352.0,3767808.0,11272960.0,5.615234375,0.01746117726205384,4.0,16.0
crop1046,Cortex,Chemical,,16.0,17,12,526917632.0,10785280.0,909568.0,3598592.0,18.901209677419356,0.020468626109668694,2.0,16.0
crop1030,Kidney,Chemical,DCT base,16.0,28,22,4116414464.0,61574144.0,7472896.0,14821120.0,4.296875,0.014958198339476052,4.0,16.0
crop1037,Cortex,Chemical,,16.0,16,9,1008775168.0,9352192.0,133376.0,4954368.0,5.859375,0.009270838831750465,2.0,16.0
