crop,tissue,prep,region_group,voxel_nm,n_boundary_faces,gap_min_nm,gap_mean_nm,gap_std_nm,percentiles_nm_p10,percentiles_nm_p25,percentiles_nm_p50,percentiles_nm_p75,percentiles_nm_p90,contact_fractions_p20,contact_fractions_p40,contact_fractions_p80,contact_fractions_p160,contact_fractions_p320,native_voxel_nm,analysis_voxel_nm
crop1145,Heart,Chemical,Cardiac interstitial,16.0,26286,48.0,92.76731018973737,26.967028386596876,70.62741699796952,75.71281292110203,87.55417527999327,100.4466698804699,126.75481705311023,0.0,0.0,0.36951228790991403,0.9595602221714982,1.0,8.0,16.0
crop1147,Heart,Chemical,Intercalated disc,16.0,21858,48.0,132.52317505272268,46.96750202681402,61.254833995939045,103.19183588453085,132.56613257257663,160.8753863992867,192.67230490603015,0.0,0.0,0.12928904748833378,0.7430688992588526,1.0,8.0,16.0
crop1146,Heart,Chemical,Cardiac interstitial,16.0,59259,48.0,126.10437060859987,81.17510312456271,54.62741699796952,66.34022991907156,90.96892352452748,162.64242223858687,250.98945468367015,0.0,0.0,0.39680048600212625,0.743633878398218,0.9671611063298402,8.0,16.0
crop1028,Kidney,Chemical,PCT brush border,16.0,68086,48.0,186.89541598027446,190.31446683218755,48.0,48.0,79.48990056109866,291.9955942799481,468.54833995939043,0.0,0.0,0.5048908733072879,0.6326998208148518,0.7750345151719884,4.0,16.0
crop1044,Liver,Chemical,Hepatocyte lateral,16.0,30772,48.0,150.25106493152512,86.90924040752083,54.62741699796952,79.48990056109866,128.93251483406945,209.28790057709747,276.93550399254195,0.0,0.0,0.26758091771740544,0.6044455998960093,0.9572663460288574,4.0,16.0
crop1029,Kidney,Chemical,PCT brush border,16.0,95985,48.0,333.1143831197839,378.35345784436885,48.0,54.62741699796952,147.93938001976514,505.3448250737514,898.0937594227731,0.0,0.0,0.3939469708808668,0.5139553055164869,0.6446111371568474,4.0,16.0
crop1039,Liver,Chemical,Bile canaliculus,16.0,40535,48.0,189.03807838409094,192.63923653490346,48.0,48.0,90.96892352452748,265.9279896290129,497.0643067731098,0.0,0.0,0.4693474774885901,0.6274577525595164,0.7961268039965462,4.0,16.0
crop1043,Liver,Chemical,Space of Disse,16.0,80632,48.0,95.75752331290873,52.31975685054644,48.0,54.62741699796952,79.48990056109866,117.0659966456864,171.0466521571749,0.0,0.0,0.5110378013691834,0.8789810497073123,0.9962793927969045,4.0,16.0
crop1041,Liver,Chemical,Space of Disse,16.0,44974,48.0,113.48998629305895,65.04418128551683,54.62741699796952,70.62741699796952,94.38367176906169,139.6585104173064,198.42267033648653,0.0,0.0,0.36327655979010093,0.8203851113976964,0.9876817716903099,4.0,16.0
crop1036,Cortex,Chemical,,16.0,9818,48.0,51.75381261132347,6.233910924285273,48.0,48.0,48.0,54.62741699796952,61.254833995939045,0.0,0.0,0.9966388266449379,1.0,1.0,2.0,16.0
crop1042,Liver,Chemical,Bile canaliculus,16.0,45038,48.0,104.64310472098845,65.85325649845649,48.0,54.62741699796952,71.42562584220407,143.74876918229162,207.70255311726623,0.0,0.0,0.5544873218171322,0.7952617789422266,0.9972245659221102,4.0,16.0
crop1031,Kidney,Chemical,PCT lateral,16.0,17463,48.0,50.47190113699642,4.534896698336926,48.0,48.0,48.0,54.62741699796952,54.62741699796952,0.0,0.0,0.9999427360705492,1.0,1.0,4.0,16.0
crop1040,Liver,Chemical,Bile canaliculus,16.0,38548,48.0,126.52999668650932,89.28216474555336,48.0,54.62741699796952,87.55417527999327,186.29667411367015,264.797350964332,0.0,0.0,0.4748106257133963,0.6942253813427415,0.9699335892912733,4.0,16.0
crop1035,Cortex,Chemical,,16.0,4545,48.0,51.79911560203221,8.093023264718015,48.0,48.0,48.0,54.62741699796952,61.254833995939045,0.0,0.0,0.9784378437843785,1.0,1.0,2.0,16.0
