crop,tissue,prep,region_group,voxel_nm,n_ecs_voxels,n_narrow_voxels,narrow_fraction,full_percentiles_nm_p10,full_percentiles_nm_p25,full_percentiles_nm_p50,full_percentiles_nm_p75,full_percentiles_nm_p90,narrow_percentiles_nm_p10,narrow_percentiles_nm_p25,narrow_percentiles_nm_p50,narrow_percentiles_nm_p75,narrow_percentiles_nm_p90,narrow_mean_nm,narrow_std_nm,native_voxel_nm,analysis_voxel_nm
crop1026,Kidney,Chemical,Glomerular,8.0,4805789,4803199,0.999461066642751,8.0,17.88854381999832,33.94112549695428,60.398675482166,89.7997772825746,8.0,17.88854381999832,33.94112549695428,60.398675482166,89.7997772825746,42.83779812331382,32.28108746073673,4.0,8.0
crop1027,Kidney,Chemical,Glomerular,8.0,6006917,5894642,0.9813090475530126,11.313708498984761,19.595917942265423,40.792156108742276,72.0,118.92854997854805,11.313708498984761,19.595917942265423,40.0,70.19971509913698,110.85125168440814,51.304296810819395,40.758325414655474,4.0,8.0
crop1028,Kidney,Chemical,PCT brush border,8.0,1789974,1474131,0.8235488336702097,8.0,19.595917942265423,80.39900496896712,166.85322891691368,254.11808278829744,8.0,16.0,54.258639865002145,119.19731540601072,163.3646228532971,70.9352889291355,58.91436862624933,4.0,8.0
crop1029,Kidney,Chemical,PCT brush border,8.0,3355156,1624288,0.4841169829361138,13.856406460551018,62.99206299209449,209.990475974507,389.7075826821952,568.9006943219529,8.0,17.88854381999832,58.787753826796276,124.70765814495917,168.949696655543,74.48558348355597,60.25223764002229,4.0,8.0
crop1030,Kidney,Chemical,DCT base,8.0,1945458,1945458,1.0,8.0,11.313708498984761,24.0,45.254833995939045,58.787753826796276,8.0,11.313708498984761,24.0,45.254833995939045,58.787753826796276,29.543707490486867,20.352757351426742,4.0,8.0
crop1031,Kidney,Chemical,PCT lateral,8.0,451637,451637,1.0,8.0,8.0,8.0,16.0,24.0,8.0,8.0,8.0,16.0,24.0,12.928237589102283,6.46957638644703,4.0,8.0
crop1032,Kidney,Chemical,DCT base,8.0,2422907,2422248,0.9997280126723808,8.0,16.0,43.08131845707603,77.56287771866127,108.51727973000429,8.0,16.0,43.08131845707603,77.56287771866127,108.51727973000429,50.888065943572315,38.562925888667166,4.0,8.0
crop1145,Heart,Chemical,Cardiac interstitial,8.0,2515797,1619281,0.6436453338643777,11.313708498984761,27.712812921102035,110.27239001672177,281.25433329995116,447.85712007290897,8.0,17.88854381999832,37.52332607858744,101.50862032359616,157.58172482873766,62.866212161271484,55.79834124330523,8.0,8.0
crop1146,Heart,Chemical,Cardiac interstitial,8.0,2024249,2016157,0.9960024680758148,8.0,16.0,29.93325909419153,61.44916598294886,100.55844071981228,8.0,16.0,29.93325909419153,61.44916598294886,98.95453501482385,43.46472824725282,37.18757694201579,8.0,8.0
crop1147,Heart,Chemical,Intercalated disc,8.0,902719,902719,1.0,8.0,13.856406460551018,29.93325909419153,50.59644256269407,68.35202996254024,8.0,13.856406460551018,29.93325909419153,50.59644256269407,68.35202996254024,34.62696575345034,23.552015021679544,8.0,8.0
crop1038,Liver,Chemical,Space of Disse,8.0,4386883,3881666,0.8848346308757266,11.313708498984761,22.627416997969522,50.59644256269407,108.81176406988355,219.5267637441959,11.313708498984761,19.595917942265423,41.569219381653056,82.365041127896,128.74781551544865,56.745545267819026,46.426682720004166,4.0,8.0
crop1039,Liver,Chemical,Bile canaliculus,8.0,1531686,1311251,0.856083427020943,8.0,13.856406460551018,52.459508194416,138.5062813857138,234.19649869287116,8.0,11.313708498984761,36.66060555964672,94.65727652959386,148.59340496805368,58.623133410833674,54.502882617922246,4.0,8.0
crop1040,Liver,Chemical,Bile canaliculus,8.0,1792940,1785243,0.9957070509888786,8.0,13.856406460551018,33.94112549695428,72.44308110509934,109.39835464941875,8.0,13.856406460551018,33.94112549695428,72.0,107.92590050585633,47.36614465627216,40.59843056983342,4.0,8.0
crop1041,Liver,Chemical,Space of Disse,8.0,2147267,2063968,0.9612069668094373,8.0,16.0,32.0,60.398675482166,113.98245479020005,8.0,16.0,29.93325909419153,56.0,93.29523031752481,42.37703180172464,37.7776082711875,4.0,8.0
crop1042,Liver,Chemical,Bile canaliculus,8.0,1402760,1402760,1.0,8.0,11.313708498984761,19.595917942265423,43.81780460041329,74.18894796396563,8.0,11.313708498984761,19.595917942265423,43.81780460041329,74.18894796396563,31.756870799292475,27.820673082352688,4.0,8.0
crop1043,Liver,Chemical,Space of Disse,8.0,2118486,2117491,0.9995303249584845,8.0,11.313708498984761,24.0,43.08131845707603,66.4529909033446,8.0,11.313708498984761,24.0,43.08131845707603,66.4529909033446,31.33110736614413,25.07562502035559,4.0,8.0
crop1044,Liver,Chemical,Hepatocyte lateral,8.0,1749485,1746943,0.9985470009745725,8.0,17.88854381999832,36.66060555964672,66.93280212272605,100.23971268913334,8.0,17.88854381999832,36.66060555964672,66.4529909033446,99.59919678390986,46.86664846639561,36.19892355338237,4.0,8.0
