crop,tissue,prep,region_group,voxel_nm,n_cells_total,n_cells_passing,total_cell_volume_nm3,total_ecs_facing_sa_nm2,total_cell_cell_sa_nm2,total_outer_sa_nm2,cell_density_per_um3,sa_v_ecs_per_nm,native_voxel_nm,analysis_voxel_nm
crop1028,Kidney,Chemical,PCT brush border,8.0,104,65,582700544.0,21372032.0,5760.0,2812032.0,42.317708333333336,0.036677556285240054,4.0,8.0
crop1029,Kidney,Chemical,PCT brush border,8.0,96,70,562172928.0,23248448.0,384.0,2366912.0,30.381944444444446,0.04135462033490165,4.0,8.0
crop1147,Heart,Chemical,Intercalated disc,8.0,3,3,3633807872.0,19823680.0,0.0,14001216.0,0.732421875,0.005455346209344114,8.0,8.0
crop1145,Heart,Chemical,Cardiac interstitial,8.0,3,3,2807911936.0,20734208.0,0.0,10165504.0,0.732421875,0.007384208790228954,8.0,8.0
crop1137,Kidney,Rapid HPF,DCT base,8.0,31,22,3918003712.0,63887168.0,0.0,14445248.0,4.774305555555556,0.016306050911674072,8.0,8.0
crop1036,Cortex,Chemical,,8.0,14,12,455173632.0,7844864.0,374208.0,3318592.0,23.4375,0.017234882358036066,2.0,8.0
crop1034,Cortex,Chemical,,8.0,24,20,463306752.0,10076032.0,1730560.0,3430656.0,39.0625,0.02174807933729401,2.0,8.0
crop1146,Heart,Chemical,Cardiac interstitial,8.0,5,5,4083584512.0,31871168.0,0.0,15285440.0,0.9765625,0.007804703908133541,8.0,8.0
crop1035,Cortex,Chemical,,8.0,20,11,947660288.0,8140928.0,2304.0,5388416.0,11.0,0.008590555184264511,2.0,8.0
crop1123,Liver,Rapid HPF,Hepatocyte lateral,8.0,3,2,3990404608.0,8396032.0,0.0,14907776.0,0.48828125,0.002104055308869571,8.0,8.0
crop1033,Cortex,Chemical,,8.0,22,18,947233280.0,13861056.0,3281984.0,5521152.0,18.0,0.014633202076683793,2.0,8.0
crop1038,Liver,Chemical,Space of Disse,8.0,61,17,1830542336.0,40992768.0,128.0,7142016.0,4.150390625,0.022393783084839837,4.0,8.0
crop1039,Liver,Chemical,Bile canaliculus,8.0,19,6,3298728448.0,32891520.0,9344.0,12870912.0,1.46484375,0.009970969274522108,4.0,8.0
crop1042,Liver,Chemical,Bile canaliculus,8.0,24,15,3368091648.0,29619904.0,0.0,13754688.0,3.662109375,0.008794269009154943,4.0,8.0
crop1041,Liver,Chemical,Space of Disse,8.0,50,11,2979999744.0,28641920.0,256.0,10949888.0,2.685546875,0.009611383376011457,4.0,8.0
crop1040,Liver,Chemical,Bile canaliculus,8.0,27,14,3162527232.0,39220800.0,6208.0,13933696.0,3.41796875,0.012401727201949356,4.0,8.0
crop1046,Cortex,Chemical,,8.0,17,12,531287040.0,11979456.0,24192.0,3621184.0,18.75,0.02254799213622828,2.0,8.0
crop1044,Liver,Chemical,Hepatocyte lateral,8.0,41,4,3178316288.0,19929856.0,0.0,12462208.0,0.9765625,0.00627057038824199,4.0,8.0
crop1032,Kidney,Chemical,PCT base,8.0,25,23,2852404224.0,53722496.0,1344.0,11272512.0,5.615234375,0.018834110378880158,4.0,8.0
crop1125,Liver,Rapid HPF,Hepatocyte lateral,8.0,3,3,4958079488.0,18373632.0,0.0,17505664.0,0.5859375,0.0037057961746013862,8.0,8.0
crop1043,Liver,Chemical,Space of Disse,8.0,81,16,2987194880.0,43229504.0,3776.0,11979264.0,3.90625,0.014471604879022824,4.0,8.0
crop1045,Cortex,Chemical,,8.0,24,19,654507520.0,13446272.0,1684288.0,4039872.0,24.739583333333332,0.020544106200643807,2.0,8.0
crop1037,Cortex,Chemical,,8.0,16,9,1010918400.0,9576384.0,128.0,4967744.0,5.859375,0.009472954493656462,2.0,8.0
crop1030,Kidney,Chemical,DCT base,8.0,28,22,4116758016.0,69545536.0,49984.0,14838912.0,4.296875,0.01689327760575374,4.0,8.0
crop1127,Liver,Rapid HPF,Hepatocyte lateral,8.0,8,7,6634551296.0,19585088.0,0.0,23398848.0,1.0127314814814814,0.002951983808130014,8.0,8.0
crop1026,Kidney,Chemical,Glomerular,8.0,48,30,4439589888.0,62146944.0,7680.0,14945280.0,4.340277777777778,0.013998352453225518,4.0,8.0
crop1027,Kidney,Chemical,Glomerular,8.0,27,19,3826722816.0,64934272.0,0.0,11424512.0,2.7488425925925926,0.01696863742743577,4.0,8.0
crop1136,Kidney,Rapid HPF,DCT base,8.0,19,17,12299619328.0,93666752.0,0.0,32307392.0,1.257694128787879,0.0076154187785932755,8.0,8.0
crop1124,Liver,Rapid HPF,Hepatocyte lateral,8.0,10,5,14055607296.0,30218432.0,0.0,38200384.0,0.3487723214285714,0.002149920054226307,8.0,8.0
crop1072,Liver,Rapid HPF,Bile canaliculus,8.0,20,2,13267601408.0,24170752.0,0.0,32886784.0,0.14467592592592593,0.0018217876205887298,8.0,8.0
crop1073,Liver,Rapid HPF,Bile canaliculus,8.0,32,12,11828644352.0,56303616.0,0.0,31032704.0,0.8680555555555556,0.004759938191097961,8.0,8.0
crop1074,Liver,Rapid HPF,Bile canaliculus,8.0,44,15,12388753920.0,41370880.0,0.0,31546752.0,1.0850694444444444,0.003339389923082757,8.0,8.0
crop1031,Kidney,Chemical,PCT lateral,8.0,2,2,15819961856.0,23803712.0,0.0,41330880.0,0.12460127591706538,0.001504663046388574,4.0,8.0
crop1075,Liver,Rapid HPF,Bile canaliculus,8.0,55,12,13150521856.0,32301824.0,0.0,33267712.0,0.8680555555555556,0.0024563149929492808,8.0,8.0
crop1134,Kidney,Rapid HPF,Glomerular,8.0,32,23,4413551616.0,78726720.0,0.0,13320640.0,1.8335459183673468,0.01783749842521384,8.0,8.0
crop1126,Liver,Rapid HPF,Hepatocyte lateral,8.0,2,2,20048210944.0,33500480.0,0.0,48042560.0,0.09765625,0.0016709959853064085,8.0,8.0
crop1071,Liver,Rapid HPF,Hepatocyte lateral,8.0,108,82,9908293632.0,137044608.0,0.0,27005312.0,5.931712962962963,0.013831302653102479,8.0,8.0
crop1141,Cortex,Rapid HPF,,8.0,119,78,11303504896.0,114850816.0,0.0,29425152.0,6.218112244897959,0.010160637524087112,8.0,8.0
crop1144,Kidney,Rapid HPF,DCT base,8.0,31,19,24633717760.0,203330176.0,0.0,56523776.0,0.6872106481481481,0.008254140847962691,8.0,8.0
crop1116,Cortex,Rapid HPF,,8.0,234,201,26186141184.0,599361344.0,0.0,49891904.0,6.134033203125,0.022888494329443846,8.0,8.0
crop1138,Kidney,Rapid HPF,PCT lateral,8.0,31,17,11165393408.0,71055424.0,0.0,30107584.0,1.3834635416666667,0.006363897930285987,8.0,8.0
crop1135,Kidney,Rapid HPF,Glomerular,8.0,24,14,2994776064.0,46633344.0,0.0,11442304.0,3.0381944444444446,0.015571562949422585,8.0,8.0
crop1148,Heart,Chemical,Intercalated disc,8.0,5,4,7443721728.0,43835264.0,0.0,28661248.0,0.48828125,0.005888890746024406,8.0,8.0
crop1149,Heart,Rapid HPF,Cardiac interstitial,8.0,31,17,3209951744.0,24646208.0,0.0,12153920.0,4.150390625,0.007678061841916587,8.0,8.0
crop1150,Heart,Rapid HPF,Cardiac interstitial,8.0,33,21,2507603456.0,32925376.0,0.0,10196800.0,5.126953125,0.013130216390960342,8.0,8.0
crop1151,Heart,Rapid HPF,Intercalated disc,8.0,5,2,7326238720.0,40612480.0,0.0,28402048.0,0.2604166666666667,0.0055434284292609015,8.0,8.0
crop1152,Heart,Rapid HPF,Intercalated disc,8.0,3,2,3267513344.0,18344768.0,0.0,13677248.0,0.48828125,0.005614290155443662,8.0,8.0
crop1118,Liver,Chemical,Hepatocyte lateral,8.0,3,2,2460541440.0,9156352.0,0.0,10730368.0,0.7750496031746031,0.0037212752653334705,8.0,8.0
crop1119,Liver,Chemical,Hepatocyte lateral,8.0,8,2,3916336128.0,11417920.0,0.0,14338112.0,0.48828125,0.0029154596609742276,8.0,8.0
crop1120,Liver,Chemical,Hepatocyte lateral,8.0,16,6,2923670528.0,12272064.0,0.0,12070848.0,1.953125,0.004197485278341185,8.0,8.0
crop1121,Liver,Chemical,Hepatocyte lateral,8.0,3,2,4033500160.0,11386048.0,0.0,15108160.0,0.48828125,0.002822870347921345,8.0,8.0
crop1122,Liver,Chemical,Hepatocyte lateral,8.0,26,3,5936300032.0,12442304.0,0.0,21132736.0,0.48828125,0.0020959695320197725,8.0,8.0
