crop,tissue,prep,region_group,voxel_nm,n_cells_considered,n_cells_included,total_ecs_surface_nm2,curvature_abs_median_per_nm,curvature_abs_p25_per_nm,curvature_abs_p75_per_nm,curvature_signed_median_per_nm,curvature_signed_p10_per_nm,curvature_signed_p90_per_nm,curvature_std_per_nm,curvature_iqr_per_nm,fraction_convex,fraction_concave,fraction_flat,roughness_rms_nm_p30,roughness_rms_nm_p60,roughness_rms_nm_p120,protrusion_density_per_um2,indentation_density_per_um2,protrusion_count,indentation_count,native_voxel_nm,analysis_voxel_nm
crop1026,Kidney,Chemical,Glomerular,8.0,48,31,38927696.58493468,0.004505390048020787,0.002128012478482955,0.007826638149006531,0.0028970736443687164,-0.005099936030402419,0.010754383876151859,0.007588795774527556,0.0056986256705235765,0.5645238863320636,0.1999555555420762,0.23552055812585987,1.4053053420303625,4.695649487970887,14.137106795223978,13.974625979039619,5.009286885868981,544,195,4.0,8.0
crop1027,Kidney,Chemical,Glomerular,8.0,27,20,41158769.41380564,0.004142933231066142,0.0018917846905547962,0.00744539387020877,0.002505235023732829,-0.00483350411497926,0.010249194472166757,0.007361414195470135,0.005553609179653974,0.5382540912496426,0.19836865949114996,0.26337724925920675,1.3228531628306692,4.3198074654613166,12.928075296737031,12.876964193740575,5.223674154064573,530,215,4.0,8.0
crop1028,Kidney,Chemical,PCT brush border,8.0,104,71,13719231.227635195,0.00803218772005874,0.005095844884030849,0.011565664901106483,0.007969629876602975,0.002092647471248458,0.015651787393172238,0.006220086776941696,0.006469820017075634,0.9031809838912355,0.02558532887135584,0.07123368723740851,1.9797529059425516,6.995015334206338,22.38298553857533,21.138210675816982,0.4373422898444893,290,6,4.0,8.0
crop1029,Kidney,Chemical,PCT brush border,8.0,96,72,13576546.57508158,0.0076485988186233,0.004818556841089711,0.011152428690357348,0.0076327601078986645,0.0023219720562589925,0.01532848342373959,0.005887244153015166,0.006333871849267638,0.9131053637208535,0.014730183300530865,0.0721644529786156,1.8325088740782265,6.509981650890161,21.07414752025567,19.666267745146055,0.07365643350241968,267,1,4.0,8.0
crop1030,Kidney,Chemical,DCT base,8.0,28,23,39790221.85166371,0.0028642567787388216,0.001276135144466781,0.005537577014947877,0.0010735260147499831,-0.004017901794385921,0.008990572202070592,0.008101039050794845,0.004261441870481096,0.41393425298487113,0.2123643126348145,0.3737014343803147,1.1344347072387435,3.4865163092160456,10.114885656735936,12.06326523610298,3.091211716751389,480,123,4.0,8.0
crop1031,Kidney,Chemical,PCT lateral,8.0,2,2,17632958.445586696,0.0017257186090090873,0.0007351439038867121,0.00327314913640235,6.912119301231825e-05,-0.003454485283247926,0.0040589273911875254,0.0047114312865244225,0.0025380052325156377,0.23979070966758712,0.20449816066821389,0.5557111296641989,0.6777472830196698,2.1093396265996778,5.991657879807402,7.7695413632809505,3.2325829029709063,137,57,4.0,8.0
crop1032,Kidney,Chemical,DCT base,8.0,25,23,33424361.060273267,0.003115466393656827,0.0013735296783110448,0.006000988739544254,0.0014049220720014997,-0.0040914239720948025,0.009234779160385538,0.006253655233109925,0.004627459061233209,0.4482175471730816,0.20319261286059698,0.34858983996632154,1.1010276859573203,3.581143775627512,10.600762092650642,13.37347927740299,4.128725146043876,447,138,4.0,8.0
crop1145,Heart,Chemical,Cardiac interstitial,8.0,3,3,12071788.839198925,0.0026989449516580527,0.0011443960529913576,0.007120041633945189,0.0006009322504012902,-0.012560613655076039,0.008543326759173821,0.012476111056745632,0.005975645580953831,0.3520388939313675,0.24344557405441522,0.40451553201421736,1.8956682477067666,5.091615750509807,10.954480598404723,12.508502427550766,9.360667379557858,151,113,8.0,8.0
crop1146,Heart,Chemical,Cardiac interstitial,8.0,5,5,19254884.072786074,0.002761035547540915,0.0011866258031975458,0.0063899727156867285,0.0008993028087794587,-0.0070344845107769925,0.008553169896372947,0.010243313099306938,0.0052033469124891825,0.38334194607181143,0.22376069458773776,0.3928973593404509,1.5478098855790583,4.640795307490886,11.21216245807704,9.815691399935433,5.8686408899084865,189,113,8.0,8.0
crop1147,Heart,Chemical,Intercalated disc,8.0,3,3,12378508.196983542,0.0023031445786841263,0.0010246163325624866,0.004526890793737026,0.00040236906006266087,-0.00451540269068592,0.0061758617728338355,0.00703231460954864,0.0035022744611745396,0.3174888834883657,0.23393714986700606,0.44857396664462795,1.0296762473047074,3.2258531773503694,9.246250623259733,10.582858444277052,4.927895916800765,131,61,8.0,8.0
crop1038,Liver,Chemical,Space of Disse,8.0,61,21,25339164.419202067,0.005162944102506642,0.002303324590314812,0.009318821833635542,0.0035295173962156343,-0.004802605506171035,0.01321312850562386,0.009321281876542969,0.007015497243320731,0.5904476886709855,0.19069109641977952,0.21886121490923516,1.6151743873291116,5.250512945416746,15.963749408603652,12.865459752609544,4.025389247748999,326,102,4.0,8.0
crop1039,Liver,Chemical,Bile canaliculus,8.0,19,10,16725922.524616338,0.005864518601840796,0.002374579387954074,0.011352705390499878,0.0021462381599795504,-0.012838575340677135,0.013193109552965026,0.015648486890790635,0.008978126002545803,0.5077850021337201,0.2773921793486546,0.21482281851762525,1.9992326802035523,5.739304872654992,15.039094745587226,12.316211539113612,7.353854462674632,206,123,4.0,8.0
crop1040,Liver,Chemical,Bile canaliculus,8.0,27,17,19658068.391688414,0.007446002241389402,0.0037622767146957056,0.012388567238828026,0.004488999005642921,-0.01512610446904041,0.013801957526231977,0.01677148290644606,0.008626290524132321,0.6098420464176356,0.25614210047972835,0.13401585310263603,2.079661908211543,6.309963126920215,16.914844479236944,12.208727491327373,6.867409213871647,240,135,4.0,8.0
