crop,tissue,prep,region_group,voxel_nm,n_boundary_faces,gap_min_nm,gap_mean_nm,gap_std_nm,percentiles_nm_p10,percentiles_nm_p25,percentiles_nm_p50,percentiles_nm_p75,percentiles_nm_p90,contact_fractions_p20,contact_fractions_p40,contact_fractions_p80,contact_fractions_p160,contact_fractions_p320,native_voxel_nm,analysis_voxel_nm
crop1028,Kidney,Chemical,PCT brush border,8.0,316513,24.0,156.09964648058295,186.06597747350838,24.0,33.17011495953578,54.62741699796952,235.90886444596123,438.96168965029983,0.0,0.35041530679624533,0.5941525308597119,0.6899116308018944,0.8101784128929933,4.0,8.0
crop1029,Kidney,Chemical,PCT brush border,8.0,429425,24.0,290.79736473942927,369.34993532158575,27.31370849898476,37.856406460551014,93.25483399593904,440.73947494630505,837.4540846889734,0.0,0.27795540548407754,0.47931536356756127,0.5731734295860744,0.6869348547476276,4.0,8.0
crop1137,Kidney,Rapid HPF,DCT base,8.0,533924,24.0,40.56771810518462,22.007742235460864,24.0,27.31370849898476,30.627416997969522,45.48446176226374,70.91810409913282,0.0,0.6853934267798413,0.9296173238138762,0.9985971786246731,1.0,8.0,8.0
crop1147,Heart,Chemical,Intercalated disc,8.0,155312,24.0,80.37285815529205,61.7641541037058,24.0,24.0,64.46625741703473,131.9311633902021,167.99199899978993,0.0,0.48474039353044196,0.5263598434119707,0.8739569382919543,1.0,8.0,8.0
crop1145,Heart,Chemical,Cardiac interstitial,8.0,105677,37.20225231898308,84.45316649130194,27.98340401312207,59.83121960419024,66.28306628628832,76.81231704527967,91.08131845707604,120.93251483406945,0.0,0.0002271071283249903,0.5610208465418208,0.9651106674110733,1.0,8.0,8.0
crop1036,Cortex,Chemical,,8.0,56168,24.0,33.21027093784436,9.270162158702345,24.0,27.31370849898476,30.627416997969522,37.856406460551014,45.48446176226374,0.0,0.7973045150263495,1.0,1.0,1.0,2.0,8.0
crop1034,Cortex,Chemical,,8.0,48884,24.0,29.85414450771246,8.28751178479415,24.0,24.0,27.31370849898476,33.17011495953578,41.88854381999832,0.0,0.8873660093282055,0.9993863022665903,1.0,1.0,2.0,8.0
crop1146,Heart,Chemical,Cardiac interstitial,8.0,243838,24.0,115.3881927427302,82.84304533479414,43.77708763999664,57.16041532081272,82.18393163823416,152.0,242.3252968525388,0.0,0.08163616827565844,0.4850023376175986,0.7676039009506311,0.9703983792517983,8.0,8.0
crop1123,Liver,Rapid HPF,Hepatocyte lateral,8.0,65808,24.0,42.339600321682575,25.45153051639142,24.0,27.31370849898476,27.31370849898476,48.51596081796784,87.81454440968857,0.0,0.6814824945295405,0.87539508874301,1.0,1.0,8.0,8.0
crop1032,Kidney,Chemical,PCT base,8.0,411088,24.0,94.21600338946547,92.58685161052325,24.0,24.0,35.31370849898476,154.20467975244782,248.94955372469158,0.0,0.5245567858949909,0.6123214494220216,0.7609660218736621,0.9841420815007978,4.0,8.0
crop1038,Liver,Chemical,Space of Disse,8.0,265908,24.0,135.44687622238408,140.31565722045468,35.31370849898476,54.62741699796952,88.7610552661839,163.12575543732254,279.2922762023021,0.0,0.1373821020804188,0.4469741414323751,0.7433473231343172,0.9273545737623539,4.0,8.0
