tissue,region_group,prep,n_crops,abs_curvature_p50_nm-1_median,abs_curvature_p50_nm-1_iqr_lo,abs_curvature_p50_nm-1_iqr_hi,abs_deviation_p50_nm_median,abs_deviation_p50_nm_iqr_lo,abs_deviation_p50_nm_iqr_hi,gap_p50_nm_median,gap_p50_nm_iqr_lo,gap_p50_nm_iqr_hi,frac_convex_median,frac_convex_iqr_lo,frac_convex_iqr_hi,frac_protrusion_median,frac_protrusion_iqr_lo,frac_protrusion_iqr_hi,gap_bounded_frac_median,gap_bounded_frac_iqr_lo,gap_bounded_frac_iqr_hi
Cortex,,Chemical,7,0.002632430288940668,0.0017780981725081801,0.003667237935587764,1.8652039766311646,1.0835669040679932,2.216097354888916,16.0,16.0,35.7770881652832,0.554656374501992,0.4551336146272855,0.8343848580441641,0.5863904200722296,0.46216596343178623,0.8902909218366631,0.0,0.0,0.066
Cortex,,Rapid HPF,5,0.0025422489270567894,0.001857826195191592,0.0035830753622576594,1.6998517513275146,1.1760715246200562,2.589737296104431,27.712812423706055,22.627416610717773,27.712812423706055,0.6388840574668662,0.5616093659221097,0.6815107943684455,0.6741920896093505,0.5743782530847079,0.715672889697281,0.01,0.0035,0.0135
Heart,Cardiac interstitial,Chemical,2,0.0048631487879902124,0.0028850636444985867,0.006841233931481838,2.5433552265167236,1.6845929622650146,3.4021174907684326,91.21133422851562,90.5096664428711,91.91300201416016,0.6301308104452337,0.6229167996935061,0.6373448211969612,0.6496175949393401,0.6422961496711577,0.6569390402075227,0.261,0.193,0.329
Heart,Intercalated disc,Chemical,2,0.002551588462665677,0.002115852665156126,0.002987324260175228,1.6658415794372559,1.3936803340911865,1.9380028247833252,35.31370830535889,22.627416610717773,48.0,0.5023880395100344,0.5008139264476263,0.5039621525724424,0.5098100744642652,0.5050857480780603,0.5145344008504701,0.07150000000000001,0.058,0.085
Heart,Cardiac interstitial,Rapid HPF,2,0.00305423850659281,0.0027917083352804184,0.003316768677905202,1.8173531293869019,1.6749337911605835,1.9597724676132202,88.12079620361328,81.58431243896484,94.65727996826172,0.5849448530663984,0.5757619588800496,0.5941277472527473,0.5944912938144096,0.5941277472527473,0.594854840376072,0.1845,0.183,0.186
Heart,Intercalated disc,Rapid HPF,2,0.0034422664903104305,0.0029882355593144894,0.0038962974213063717,2.2201608419418335,1.864441156387329,2.575880527496338,110.65727996826172,32.0,189.31455993652344,0.4901436632598726,0.47013932964608457,0.5101479968736606,0.49295441371641124,0.47097047178650225,0.5149383556463203,0.2645,0.008,0.521
Kidney,Glomerular,Chemical,2,0.0036860585678368807,0.0036208098754286766,0.0037513072602450848,2.5011065006256104,2.46026349067688,2.541949510574341,87.25704956054688,73.32121276855469,101.19288635253906,0.6252090859031925,0.6037805078634058,0.6466376639429792,0.6401055244931357,0.6169262497311386,0.663284799255133,0.20350000000000001,0.183,0.224
Kidney,PCT brush border,Chemical,2,0.003790872055105865,0.003075462533161044,0.004506281577050686,2.837268829345703,2.3047945499420166,3.3697431087493896,41.8885440826416,35.7770881652832,48.0,0.8913660806247528,0.8206214689265536,0.9621106923229518,0.9372268463970743,0.8837772397094431,0.9906764530847054,0.148,0.013,0.283
Kidney,DCT base,Chemical,1,0.0020876696798950434,0.0020876696798950434,0.0020876696798950434,1.1993191242218018,1.1993191242218018,1.1993191242218018,22.627416610717773,22.627416610717773,22.627416610717773,0.4863842662632375,0.4863842662632375,0.4863842662632375,0.46850501994223626,0.46850501994223626,0.46850501994223626,0.067,0.067,0.067
Kidney,PCT lateral,Chemical,1,0.001630381215363741,0.001630381215363741,0.001630381215363741,0.783126950263977,0.783126950263977,0.783126950263977,22.627416610717773,22.627416610717773,22.627416610717773,0.4413087849377265,0.4413087849377265,0.4413087849377265,0.45788728287582786,0.45788728287582786,0.45788728287582786,0.303,0.303,0.303
