crop,tissue,prep,region_group,anatomy,voxel_nm,patch_faces,ecs_frac,gap_bounded_frac,n_curvature_kept,n_deviation_kept,n_gap_kept,curvature_p10_nm-1,curvature_p50_nm-1,curvature_p90_nm-1,abs_curvature_p50_nm-1,abs_curvature_p90_nm-1,frac_convex,frac_concave,deviation_p10_nm,deviation_p50_nm,deviation_p90_nm,abs_deviation_p50_nm,abs_deviation_p90_nm,frac_protrusion,frac_indent,gap_p10_nm,gap_p50_nm,gap_p90_nm
crop1033,Cortex,Chemical,,Unmyelinated nerve fibers,16.0,19700,0.0477,0.0,9240,9240,10314,-0.006150025874376297,-0.0011176051339134574,0.007509911432862282,0.003667237935587764,0.008940725587308407,0.4173160173160173,0.5826839826839827,-3.4621641635894775,-0.6518487930297852,4.237194061279297,2.216097354888916,4.701375484466553,0.43474025974025976,0.5652597402597402,0.0,16.0,22.627416610717773
crop1034,Cortex,Chemical,,Neuropil (synaptic cleft),16.0,7060,0.0867,0.0,3474,3474,3606,-0.0006566141964867711,0.004267570562660694,0.010927912779152393,0.004502787254750729,0.010959443636238575,0.8684513529073115,0.13154864709268854,0.33525997400283813,3.665708541870117,7.442709922790527,3.7519636154174805,7.442709922790527,0.9162348877374784,0.08376511226252159,16.0,16.0,27.712812423706055
crop1035,Cortex,Chemical,,Neuronal cell processes,16.0,15431,0.0433,0.0,7110,7110,7992,-0.005927628837525845,-0.000528794655110687,0.006764350924640894,0.0031046648509800434,0.00875383336097002,0.4551336146272855,0.5448663853727145,-3.1549835205078125,-0.24274811148643494,3.8950443267822266,1.913955807685852,4.489764213562012,0.46216596343178623,0.5378340365682138,16.0,16.0,22.627416610717773
crop1036,Cortex,Chemical,,Glial-neuronal (synaptic clefts),16.0,12206,0.1071,0.001,5706,5706,6220,-0.0008084361325018108,0.0024790281895548105,0.007105854339897633,0.002632430288940668,0.00711943581700325,0.8343848580441641,0.16561514195583596,-0.07623111456632614,1.8482218980789185,4.401768207550049,1.8652039766311646,4.401768207550049,0.8902909218366631,0.10970907816333683,16.0,22.627416610717773,35.7770881652832
crop1037,Cortex,Chemical,,Neurovascular (endothelium/glia/neurons),16.0,17515,0.3382,0.066,8032,8032,8423,-0.0036152491811662912,0.00037468477967195213,0.005705829709768295,0.001991068944334984,0.007010252680629492,0.554656374501992,0.445343625498008,-1.8633431196212769,0.21850809454917908,3.202160596847534,1.0835669040679932,3.7043135166168213,0.5617529880478087,0.43824701195219123,22.627416610717773,48.0,65.96968841552734
crop1045,Cortex,Chemical,,Neurovascular (mixed nerve fibers),16.0,9177,0.1469,0.339,4243,4243,3174,-0.0025694062933325768,0.00036843246198259294,0.0033120939042419195,0.001483895001001656,0.0039699203334748745,0.5790714117369785,0.42092858826302143,-1.2662626504898071,0.47537052631378174,2.0370380878448486,0.928310751914978,2.2037181854248047,0.6471835965119019,0.35281640348809806,32.0,35.7770881652832,45.25483322143555
crop1046,Cortex,Chemical,,Neurovascular (myelinated/unmyelinated fibers),16.0,11343,0.1665,0.0,5261,5261,5905,-0.003528620582073927,0.00025354415993206203,0.0037487864028662443,0.0017780981725081801,0.004797528963536024,0.5381106253563961,0.46188937464360386,-1.993007779121399,0.36813315749168396,2.3799362182617188,1.1698427200317383,2.8915231227874756,0.5863904200722296,0.41360957992777037,16.0,16.0,22.627416610717773
crop1116,Cortex,Rapid HPF,,,16.0,193740,0.1995,0.013,95248,95248,96351,-0.00321568944491446,4.985382838640362e-05,0.0031592329032719135,0.0015884145395830274,0.004255174193531275,0.508966067528977,0.491033932471023,-1.894325852394104,0.057426389306783676,1.8279714584350586,0.9835383892059326,2.4055423736572266,0.5154648916512683,0.48453510834873176,16.0,22.627416610717773,64.0
crop1140,Cortex,Rapid HPF,,Neuropil (unmyelinated fibers),16.0,82061,0.1471,0.003,39974,39974,41331,-0.003440039698034525,0.0021711327135562897,0.01139914896339178,0.003530604299157858,0.011547904461622238,0.6723620353229599,0.3276379646770401,-2.1347618103027344,1.8921010494232178,7.307864665985107,2.5897793769836426,7.322833061218262,0.7081603041977286,0.2918396958022715,16.0,27.712812423706055,48.0
crop1141,Cortex,Rapid HPF,,,16.0,106668,0.0959,0.004,52734,52734,53343,-0.003661532187834382,0.001010718522593379,0.006570853758603334,0.0025422489270567894,0.007394319400191307,0.6142526643152425,0.38574733568475744,-2.173962354660034,0.8083413243293762,4.2566609382629395,1.6998517513275146,4.5977582931518555,0.6332916145181476,0.3667083854818523,22.627416610717773,27.712812423706055,48.0
