crop,tissue,prep,region_group,voxel_nm,n_ecs_voxels,n_narrow_voxels,narrow_fraction,full_percentiles_nm_p10,full_percentiles_nm_p25,full_percentiles_nm_p50,full_percentiles_nm_p75,full_percentiles_nm_p90,narrow_percentiles_nm_p10,narrow_percentiles_nm_p25,narrow_percentiles_nm_p50,narrow_percentiles_nm_p75,narrow_percentiles_nm_p90,narrow_mean_nm,narrow_std_nm
crop1123,Liver,Rapid HPF,Hepatocyte lateral,8.0,202623,202623,1.0,8.0,8.0,11.313708498984761,24.0,35.77708763999664,8.0,8.0,11.313708498984761,24.0,35.77708763999664,17.22656611091063,11.95105923721991
crop1125,Liver,Rapid HPF,Hepatocyte lateral,8.0,316251,316251,1.0,8.0,8.0,8.0,16.0,32.0,8.0,8.0,8.0,16.0,32.0,14.390177954916803,11.703362393950107
crop1147,Heart,Chemical,Intercalated disc,8.0,902719,902719,1.0,8.0,13.856406460551018,29.93325909419153,50.59644256269407,68.35202996254024,8.0,13.856406460551018,29.93325909419153,50.59644256269407,68.35202996254024,34.62696575345034,23.552015021679544
crop1145,Heart,Chemical,Cardiac interstitial,8.0,2515797,1619281,0.6436453338643777,11.313708498984761,27.712812921102035,110.27239001672177,281.25433329995116,447.85712007290897,8.0,17.88854381999832,37.52332607858744,101.50862032359616,157.58172482873766,62.866212161271484,55.79834124330523
crop1127,Liver,Rapid HPF,Hepatocyte lateral,8.0,541640,541640,1.0,8.0,8.0,11.313708498984761,17.88854381999832,32.0,8.0,8.0,11.313708498984761,17.88854381999832,32.0,16.207741882905164,11.739325119638075
crop1146,Heart,Chemical,Cardiac interstitial,8.0,2024249,2016157,0.9960024680758148,8.0,16.0,29.93325909419153,61.44916598294886,100.55844071981228,8.0,16.0,29.93325909419153,61.44916598294886,98.95453501482385,43.46472824725282,37.18757694201579
crop1072,Liver,Rapid HPF,Bile canaliculus,8.0,1054491,1054491,1.0,8.0,11.313708498984761,24.0,40.0,58.787753826796276,8.0,11.313708498984761,24.0,40.0,58.787753826796276,28.736963190210613,20.54472539068
crop1124,Liver,Rapid HPF,Hepatocyte lateral,8.0,542839,542839,1.0,8.0,8.0,8.0,11.313708498984761,17.88854381999832,8.0,8.0,8.0,11.313708498984761,17.88854381999832,11.503828462190983,5.595303098044997
crop1126,Liver,Rapid HPF,Hepatocyte lateral,8.0,843338,843338,1.0,8.0,8.0,11.313708498984761,16.0,40.0,8.0,8.0,11.313708498984761,16.0,40.0,17.03441673724012,14.074433746824612
crop1137,Kidney,Rapid HPF,DCT base,8.0,1325656,1325656,1.0,8.0,8.0,11.313708498984761,17.88854381999832,29.93325909419153,8.0,8.0,11.313708498984761,17.88854381999832,29.93325909419153,15.31423962978979,10.465176952482913
crop1075,Liver,Rapid HPF,Bile canaliculus,8.0,1217817,1217817,1.0,8.0,8.0,16.0,25.298221281347036,37.52332607858744,8.0,8.0,16.0,25.298221281347036,37.52332607858744,19.91427745070167,12.947623186720762
crop1074,Liver,Rapid HPF,Bile canaliculus,8.0,2742593,2733822,0.996801931602684,8.0,16.0,33.94112549695428,68.81860213634101,109.98181667894016,8.0,16.0,33.94112549695428,68.35202996254024,108.81176406988355,47.371660092223436,40.21102740626014
crop1073,Liver,Rapid HPF,Bile canaliculus,8.0,3855452,3740357,0.9701474690905243,8.0,16.0,40.0,100.23971268913334,155.53777676178865,8.0,16.0,39.191835884530846,93.29523031752481,144.0,58.69731560081356,52.23328601646264
