crop,tissue,prep,region_group,voxel_nm,n_cells_total,n_cells_passing,total_cell_volume_nm3,total_ecs_facing_sa_nm2,total_cell_cell_sa_nm2,total_outer_sa_nm2,cell_density_per_um3,sa_v_ecs_per_nm
crop1026,Kidney,Chemical,Glomerular,4.0,48,30,4441759744.0,62146464.0,0.0,14962080.0,4.340277777777778,0.01399140601513813
crop1027,Kidney,Chemical,Glomerular,4.0,27,19,3833761280.0,65070096.0,0.0,11442192.0,2.7488425925925926,0.01697291282570416
crop1028,Kidney,Chemical,PCT brush border,4.0,104,64,580864832.0,21311360.0,0.0,2747456.0,41.666666666666664,0.03668901752344339
crop1029,Kidney,Chemical,PCT brush border,4.0,97,70,563111616.0,23330272.0,0.0,2367200.0,30.381944444444446,0.04143099047702827
crop1030,Kidney,Chemical,DCT base,4.0,28,22,4114907328.0,69680880.0,0.0,14834096.0,4.296875,0.016933766533660317
crop1031,Kidney,Chemical,PCT lateral,4.0,2,2,15819980224.0,23813008.0,0.0,41328720.0,0.12460127591706538,0.0015052489107334045
crop1032,Kidney,Chemical,DCT base,4.0,25,23,2850879808.0,53773872.0,0.0,11270608.0,5.615234375,0.018862202415234196
crop1134,Kidney,Rapid HPF,Glomerular,8.0,32,23,4413551616.0,78726720.0,0.0,13320640.0,1.8335459183673468,0.01783749842521384
crop1136,Kidney,Rapid HPF,DCT base,8.0,19,17,12299619328.0,93666752.0,0.0,32307392.0,1.257694128787879,0.0076154187785932755
crop1137,Kidney,Rapid HPF,DCT base,8.0,31,22,3918003712.0,63887168.0,0.0,14445248.0,4.774305555555556,0.016306050911674072
crop1144,Kidney,Rapid HPF,DCT base,8.0,31,19,24633717760.0,203330176.0,0.0,56523776.0,0.6872106481481481,0.008254140847962691
crop1145,Heart,Chemical,Cardiac interstitial,8.0,3,3,2807911936.0,20734208.0,0.0,10165504.0,0.732421875,0.007384208790228954
crop1146,Heart,Chemical,Cardiac interstitial,8.0,5,5,4083584512.0,31871168.0,0.0,15285440.0,0.9765625,0.007804703908133541
crop1147,Heart,Chemical,Intercalated disc,8.0,3,3,3633807872.0,19823680.0,0.0,14001216.0,0.732421875,0.005455346209344114
crop1038,Liver,Chemical,Space of Disse,4.0,61,17,1828481728.0,41059936.0,0.0,7135520.0,4.150390625,0.02245575406701576
crop1039,Liver,Chemical,Bile canaliculus,4.0,19,6,3296470720.0,33150480.0,0.0,12864720.0,1.46484375,0.010056355058418356
crop1040,Liver,Chemical,Bile canaliculus,4.0,27,14,3154737216.0,39517360.0,0.0,13921712.0,3.41796875,0.012526355539085257
crop1041,Liver,Chemical,Space of Disse,4.0,50,11,2979372032.0,28694960.0,0.0,10953840.0,2.685546875,0.009631210769182651
crop1042,Liver,Chemical,Bile canaliculus,4.0,24,15,3365196928.0,29786016.0,0.0,13751072.0,3.662109375,0.008851195528013984
