crop,tissue,prep,region_group,voxel_nm,n_cells_considered,n_cells_included,total_ecs_surface_nm2,curvature_abs_median_per_nm,curvature_abs_p25_per_nm,curvature_abs_p75_per_nm,curvature_signed_median_per_nm,curvature_signed_p10_per_nm,curvature_signed_p90_per_nm,curvature_std_per_nm,curvature_iqr_per_nm,fraction_convex,fraction_concave,fraction_flat,roughness_rms_nm_p30,roughness_rms_nm_p60,roughness_rms_nm_p120,protrusion_density_per_um2,indentation_density_per_um2,protrusion_count,indentation_count
crop1026,Kidney,Chemical,Glomerular,4.0,48,29,35397721.21831728,0.004027297392933371,0.001922178696601864,0.006828015364208728,0.0023086952291723464,-0.005442731704390849,0.008696596287969944,0.006759882257989655,0.004905836667606864,0.5246172143712456,0.2156695382566028,0.2597132473721517,1.2131537450041598,4.167014987554677,12.904266766183651,15.904978643333234,5.678331629325009,563,201
crop1027,Kidney,Chemical,Glomerular,4.0,27,17,37719301.23955317,0.0036884239467659986,0.0016965563949764304,0.006498976341790653,0.001972261293090292,-0.005089983838641178,0.008385590485616783,0.006571868182048163,0.004802419946814223,0.4976851073421063,0.2107254282560976,0.2915894644017972,1.143438241210116,3.850599405518656,11.83183097991555,14.687440694661257,6.230232063619847,554,235
crop1028,Kidney,Chemical,PCT brush border,4.0,104,62,10407370.735976744,0.0068745963425953655,0.004443195784497747,0.009560258538243643,0.006790562954084996,0.00146320739065768,0.012397580035595381,0.005039979448435623,0.005117062753745896,0.8799646264364835,0.033020799769119535,0.08701457379439644,1.6411901814619212,6.115077405858212,20.685137088962307,26.2314091546945,0.6726002347357564,273,7
crop1029,Kidney,Chemical,PCT brush border,4.0,97,62,10120880.045056138,0.006518143180002541,0.004177132795803878,0.009248842251827849,0.006492368691206534,0.0018450147789195962,0.01220132206443013,0.004556809155220095,0.005071709456023971,0.8929059799339149,0.01860488108461662,0.0884891389814686,1.4979031318140092,5.634465153433731,19.37503110562094,25.195437438719843,0.09880563701458762,255,1
crop1030,Kidney,Chemical,DCT base,4.0,28,22,36355966.31866841,0.002511541761415069,0.0011295863841795063,0.004699234750103691,0.0006587496463170294,-0.004159861581260916,0.006610802993515782,0.007624471501796895,0.003569648365924185,0.35758584583608444,0.2264722288063982,0.4159419253575185,0.9220040173747306,2.9211860973937296,8.803262707270727,13.725395045923143,3.3006962034284113,499,120
crop1031,Kidney,Chemical,PCT lateral,4.0,2,2,17320762.310187124,0.0013656885829490205,0.000600449360982091,0.002626282004116771,5.552452703304273e-05,-0.0029293286720995892,0.0031807932018265276,0.004017876890570399,0.00202583264313468,0.18421505640242858,0.16697577902357125,0.648809164574,0.5766955527271832,1.8521081007805897,5.396653199687817,7.159038255901127,2.9444431536367537,124,51
crop1032,Kidney,Chemical,DCT base,4.0,25,23,31160895.34646161,0.002787818225591298,0.0012386750938805666,0.005207378956363485,0.0010253062500905415,-0.00417008754934192,0.007254307108356518,0.005205525654885059,0.003968703862482919,0.40587883788126355,0.2120715820395696,0.38204958007916684,0.9013207735175264,3.0629571026291305,9.416149157918612,14.216536305344118,4.492810570537644,443,140
crop1134,Kidney,Rapid HPF,Glomerular,8.0,32,24,48445932.28805434,0.004586292140894116,0.0020647277517003254,0.008438368763879735,0.003377625258923629,-0.003754673325820409,0.012602975625704692,0.00731267401058861,0.00637364101217941,0.5957951372305219,0.16161935563209184,0.24258550713738575,1.459739285435694,4.735103906134831,13.869135792756568,12.818413655610968,3.4265002686496304,621,166
crop1136,Kidney,Rapid HPF,DCT base,8.0,19,17,61573862.86895019,0.002685766164649467,0.0011477441423790582,0.005170024359018026,0.0006479349788676733,-0.004560049946754756,0.0074306573587749345,0.01133787335513176,0.004022280216638968,0.3690043382310937,0.2333852483777823,0.39761041339112446,1.0368432612099885,3.14811190087944,9.251492330648583,9.630709726009925,3.978961016648283,593,245
crop1137,Kidney,Rapid HPF,DCT base,8.0,31,24,39668585.539378196,0.004046677661626255,0.0018228094316424868,0.007606309246829358,0.001450097863795334,-0.005972850120907038,0.01102573517239996,0.007431462643795908,0.00578349981518687,0.46198729340360345,0.265043197761026,0.27296950883537063,1.3452252174517862,4.352373249931922,12.396482349232675,13.864875505934695,5.243443827698939,550,208
crop1144,Kidney,Rapid HPF,DCT base,8.0,31,20,130557803.92538492,0.0026762945979765754,0.001186221099044123,0.005176807680217616,0.00046748797345034506,-0.004635207725064894,0.007677810042044561,0.005973287005994619,0.003990586581173493,0.35206455355555594,0.2510727955643457,0.3968626508800988,0.9725121445255687,3.144696159521234,9.326793549414909,9.528346545342922,4.779492157792591,1244,624
crop1145,Heart,Chemical,Cardiac interstitial,8.0,3,3,12071788.839198925,0.0026989449516580527,0.0011443960529913576,0.007120041633945189,0.0006009322504012902,-0.012560613655076039,0.008543326759173821,0.012476111056745632,0.005975645580953831,0.3520388939313675,0.24344557405441522,0.40451553201421736,1.8956682477067666,5.091615750509807,10.954480598404723,12.508502427550766,9.360667379557858,151,113
crop1146,Heart,Chemical,Cardiac interstitial,8.0,5,5,19254884.072786074,0.002761035547540915,0.0011866258031975458,0.0063899727156867285,0.0008993028087794587,-0.0070344845107769925,0.008553169896372947,0.010243313099306938,0.0052033469124891825,0.38334194607181143,0.22376069458773776,0.3928973593404509,1.5478098855790583,4.640795307490886,11.21216245807704,9.815691399935433,5.8686408899084865,189,113
crop1147,Heart,Chemical,Intercalated disc,8.0,3,3,12378508.196983542,0.0023031445786841263,0.0010246163325624866,0.004526890793737026,0.00040236906006266087,-0.00451540269068592,0.0061758617728338355,0.00703231460954864,0.0035022744611745396,0.3174888834883657,0.23393714986700606,0.44857396664462795,1.0296762473047074,3.2258531773503694,9.246250623259733,10.582858444277052,4.927895916800765,131,61
crop1038,Liver,Chemical,Space of Disse,4.0,61,16,21672293.024475962,0.004249668415670566,0.0019203648523716432,0.007572192943601587,0.002330880021091935,-0.005315626195459442,0.010063235653402523,0.008706269391963667,0.005651828091229943,0.5229235323888528,0.2174385376423498,0.25963792996879825,1.2998779919903256,4.448848983770446,14.112516369417925,15.088389568685562,4.614186412442068,327,100
crop1039,Liver,Chemical,Bile canaliculus,4.0,19,5,14532314.773801342,0.004828340679747288,0.0019381232236296566,0.009470171260547994,0.0009379333446189647,-0.015022020010705366,0.009818914735382933,0.015610769315718684,0.007532048036918338,0.43254249027366104,0.3107984714806756,0.2566590382456637,1.795529035735741,5.19944317338091,13.365685986122516,13.762432421334367,8.876768911760667,200,129
crop1040,Liver,Chemical,Bile canaliculus,4.0,27,11,16598017.344019562,0.006437036509197819,0.0031902347054140797,0.01076697052262023,0.002928218638679627,-0.01803956615348605,0.010834760881060777,0.017070906020782994,0.007576735817206151,0.5429858121650083,0.2971211220306309,0.15989306580436033,1.976894680185405,5.787742681308152,15.346743674472744,13.796828576186002,8.073253402659057,229,134
crop1041,Liver,Chemical,Space of Disse,4.0,50,9,15032154.591792215,0.00402176855453913,0.00179057288239278,0.00760589510443014,0.002126828728514713,-0.0050875071891563805,0.010455347475690465,0.010408010658657057,0.00581532222203736,0.509397349112533,0.21364916807928036,0.2769534828081862,1.2909834907626134,4.205686482041309,12.621569553774881,14.635293873316293,4.590160351176474,220,69
crop1042,Liver,Chemical,Bile canaliculus,4.0,24,15,14368894.186761413,0.005643083355773396,0.0025239445180575758,0.009815457624694789,0.003195037283387649,-0.007367430730017474,0.012495111641089037,0.01303319919433496,0.007291513106637212,0.5629728004664959,0.23486600736846003,0.20216119216504397,1.565734758311936,5.2195124205281545,15.903501270584252,16.145988479318756,6.263530013528827,232,90
crop1043,Liver,Chemical,Space of Disse,4.0,81,16,22107461.470103115,0.004884248063548116,0.0023109158111406305,0.00831700286966603,0.0030742265695447523,-0.005674349675072395,0.01088920485960121,0.009579968536923687,0.0060060870585254,0.569011801920318,0.21353823694225454,0.21744996113742687,1.3740051046880095,4.769859965105417,15.084295078386026,16.46502926137644,5.473265221501509,364,121
