crop,tissue,prep,region_group,native_voxel_nm,analysis_voxel_nm,total_voxels,ecs_voxels,ecs_primary_voxels,ecs_bm_voxels,cell_voxels,ecs_fraction,cell_fraction,ecs_volume_um3,cell_volume_um3,total_volume_um3,method
crop1123,Liver,Rapid HPF,Hepatocyte lateral,8.0,8.0,8000000,202623,202623,0,7797377,0.025327875,0.974672125,0.103742976,3.992257024,4.096,metadata
crop1125,Liver,Rapid HPF,Hepatocyte lateral,8.0,8.0,10000000,316251,316251,0,9683749,0.0316251,0.9683749,0.161920512,4.958079488,5.12,metadata
crop1147,Heart,Chemical,Intercalated disc,8.0,8.0,8000000,902719,902719,0,7097281,0.112839875,0.887160125,0.462192128,3.633807872,4.096,metadata
crop1145,Heart,Chemical,Cardiac interstitial,8.0,8.0,8000000,2515797,2515797,0,5484203,0.314474625,0.685525375,1.288088064,2.807911936,4.096,metadata
crop1127,Liver,Rapid HPF,Hepatocyte lateral,8.0,8.0,13500000,541640,541640,0,12958360,0.04012148148148148,0.9598785185185185,0.27731968,6.63468032,6.912,metadata
crop1146,Heart,Chemical,Cardiac interstitial,8.0,8.0,10000000,2024249,2024249,0,7975751,0.2024249,0.7975751,1.036415488,4.083584512,5.12,metadata
crop1072,Liver,Rapid HPF,Bile canaliculus,8.0,8.0,27000000,1054491,1054491,0,25945509,0.03905522222222222,0.9609447777777778,0.539899392,13.284100608,13.824,metadata
crop1124,Liver,Rapid HPF,Hepatocyte lateral,8.0,8.0,28000000,542839,542839,0,27457161,0.019387107142857143,0.9806128928571428,0.277933568,14.058066432,14.336,metadata
crop1126,Liver,Rapid HPF,Hepatocyte lateral,8.0,8.0,40000000,843338,843338,0,39156662,0.02108345,0.97891655,0.431789056,20.048210944,20.48,metadata
crop1137,Kidney,Rapid HPF,DCT base,8.0,8.0,9000000,1325656,1325656,0,7674344,0.1472951111111111,0.8527048888888888,0.678735872,3.929264128,4.608,metadata
crop1075,Liver,Rapid HPF,Bile canaliculus,8.0,8.0,27000000,1217817,1217817,0,25782183,0.04510433333333334,0.9548956666666667,0.623522304,13.200477696,13.824,metadata
crop1074,Liver,Rapid HPF,Bile canaliculus,8.0,8.0,27000000,2742593,2742593,0,24257407,0.10157751851851853,0.8984224814814815,1.404207616,12.419792384,13.824,metadata
crop1073,Liver,Rapid HPF,Bile canaliculus,8.0,8.0,27000000,3855452,3855452,0,23144548,0.14279451851851852,0.8572054814814815,1.973991424,11.850008576,13.824,metadata
crop1134,Kidney,Rapid HPF,Glomerular,8.0,8.0,24500000,15864004,15864004,0,8635996,0.6475103673469388,0.3524896326530612,8.122370048,4.421629952,12.544,metadata
crop1136,Kidney,Rapid HPF,DCT base,8.0,8.0,26400000,2373161,2373161,0,24026839,0.08989246212121212,0.9101075378787878,1.215058432,12.301741568,13.5168,metadata
crop1141,Cortex,Rapid HPF,,8.0,8.0,24500000,2348394,2348394,0,22151606,0.09585281632653062,0.9041471836734694,1.202377728,11.341622272,12.544,metadata
crop1028,Kidney,Chemical,PCT brush border,4.0,4.0,24000000,14332063,14332063,0,9667937,0.5971692916666667,0.40283070833333334,0.917252032,0.618747968,1.536,metadata
crop1029,Kidney,Chemical,PCT brush border,4.0,4.0,36000000,26840290,26840290,0,9159710,0.7455636111111111,0.25443638888888886,1.71777856,0.58622144,2.304,metadata
crop1116,Cortex,Rapid HPF,,8.0,8.0,64000000,12784323,12784323,0,51215677,0.199755046875,0.800244953125,6.545573376,26.222426624,32.768,metadata
crop1071,Liver,Rapid HPF,Hepatocyte lateral,8.0,8.0,27000000,7583400,7583400,0,19416600,0.28086666666666665,0.7191333333333333,3.8827008,9.9412992,13.824,metadata
crop1144,Kidney,Rapid HPF,DCT base,8.0,8.0,54000000,5863208,5863208,0,48136792,0.10857792592592592,0.891422074074074,3.001962496,24.646037504,27.648,metadata
crop1039,Liver,Chemical,Bile canaliculus,4.0,4.0,64000000,12295008,12295008,0,51704992,0.1921095,0.8078905,0.786880512,3.309119488,4.096,metadata
crop1042,Liver,Chemical,Bile canaliculus,4.0,4.0,64000000,11267857,11267857,0,52732143,0.176060265625,0.823939734375,0.721142848,3.374857152,4.096,metadata
crop1032,Kidney,Chemical,PCT base,4.0,4.0,64000000,19408691,12761063,6647628,44591307,0.303260796875,0.696739171875,1.242156224,2.853843648,4.096,metadata
crop1030,Kidney,Chemical,DCT base,4.0,4.0,80000000,15596505,10957994,4638511,64403495,0.1949563125,0.8050436875,0.99817632,4.12182368,5.12,metadata
crop1034,Cortex,Chemical,,2.0,2.0,64000000,5578838,5578838,0,58421162,0.08716934375,0.91283065625,0.044630704,0.467369296,0.512,metadata
crop1044,Liver,Chemical,Hepatocyte lateral,4.0,4.0,64000000,14025534,14025534,0,49974466,0.21914896875,0.78085103125,0.897634176,3.198365824,4.096,metadata
crop1041,Liver,Chemical,Space of Disse,4.0,4.0,64000000,17191268,17191268,0,46808732,0.2686135625,0.7313864375,1.100241152,2.995758848,4.096,metadata
crop1040,Liver,Chemical,Bile canaliculus,4.0,4.0,64000000,14468289,14468289,0,49531711,0.226067015625,0.773932984375,0.925970496,3.170029504,4.096,metadata
crop1027,Kidney,Chemical,Glomerular,4.0,4.0,108000000,47953778,41539024,6414754,60046222,0.444016462962963,0.5559835370370371,3.069041792,3.842958208,6.912,metadata
crop1046,Cortex,Chemical,,2.0,2.0,80000000,13283138,13283138,0,66716862,0.166039225,0.833960775,0.106265104,0.533734896,0.64,metadata
crop1135,Kidney,Rapid HPF,Glomerular,8.0,8.0,9000000,3134321,3134321,0,5865679,0.34825788888888887,0.6517421111111111,1.604772352,3.003227648,4.608,metadata
crop1148,Heart,Chemical,Intercalated disc,8.0,8.0,16000000,1459143,1459143,0,14540857,0.0911964375,0.9088035625,0.747081216,7.444918784,8.192,metadata
crop1031,Kidney,Chemical,PCT lateral,4.0,4.0,250800000,3612809,3612809,0,247187191,0.014405139553429027,0.985594860446571,0.231219776,15.819980224,16.0512,metadata
crop1043,Liver,Chemical,Space of Disse,4.0,4.0,64000000,17013177,17013177,0,46986823,0.265830890625,0.734169109375,1.088843328,3.007156672,4.096,metadata
crop1036,Cortex,Chemical,,2.0,2.0,64000000,6830094,6830094,0,57169906,0.10672021875,0.89327978125,0.054640752,0.457359248,0.512,metadata
crop1038,Liver,Chemical,Space of Disse,4.0,4.0,64000000,35129706,35129706,0,28870294,0.54890165625,0.45109834375,2.248301184,1.847698816,4.096,metadata
crop1035,Cortex,Chemical,,2.0,2.0,125000000,5316575,5316575,0,119683425,0.0425326,0.9574674,0.0425326,0.9574674,1.0,metadata
crop1026,Kidney,Chemical,Glomerular,4.0,4.0,108000000,38423632,35552324,2871308,69576368,0.35577437037037035,0.6442256296296296,2.459112448,4.452887552,6.912,metadata
crop1045,Cortex,Chemical,,2.0,2.0,96000000,13863020,13863020,0,82136980,0.14440645833333332,0.8555935416666667,0.11090416,0.65709584,0.768,metadata
crop1037,Cortex,Chemical,,2.0,2.0,192000000,64698755,64698755,0,127301245,0.33697268229166666,0.6630273177083333,0.51759004,1.01840996,1.536,metadata
crop1033,Cortex,Chemical,,2.0,2.0,125000000,5986777,5986777,0,119013223,0.047894216,0.952105784,0.047894216,0.952105784,1.0,metadata
crop1138,Kidney,Rapid HPF,PCT lateral,8.0,8.0,24000000,2160509,2160509,0,21839491,0.09002120833333334,0.9099787916666666,1.106180608,11.181819392,12.288,metadata
crop1149,Heart,Rapid HPF,Cardiac interstitial,8.0,8.0,8000000,1708999,1708999,0,6291001,0.213624875,0.786375125,0.875007488,3.220992512,4.096,metadata
crop1150,Heart,Rapid HPF,Cardiac interstitial,8.0,8.0,8000000,3082541,3082541,0,4917459,0.385317625,0.614682375,1.578260992,2.517739008,4.096,metadata
crop1151,Heart,Rapid HPF,Intercalated disc,8.0,8.0,15000000,684488,684488,0,14315512,0.045632533333333336,0.9543674666666667,0.350457856,7.329542144,7.68,metadata
crop1152,Heart,Rapid HPF,Intercalated disc,8.0,8.0,8000000,1616537,1616537,0,6383463,0.202067125,0.797932875,0.827666944,3.268333056,4.096,metadata
crop1118,Liver,Chemical,Hepatocyte lateral,8.0,8.0,5040000,231677,231677,0,4808323,0.045967658730158734,0.9540323412698413,0.118618624,2.461861376,2.58048,metadata
crop1119,Liver,Chemical,Hepatocyte lateral,8.0,8.0,8000000,345174,345174,0,7654826,0.04314675,0.95685325,0.176729088,3.919270912,4.096,metadata
crop1120,Liver,Chemical,Hepatocyte lateral,8.0,8.0,6000000,282388,282388,0,5717612,0.047064666666666664,0.9529353333333334,0.144582656,2.927417344,3.072,metadata
crop1121,Liver,Chemical,Hepatocyte lateral,8.0,8.0,8000000,121600,121600,0,7878400,0.0152,0.9848,0.0622592,4.0337408,4.096,metadata
crop1122,Liver,Chemical,Hepatocyte lateral,8.0,8.0,12000000,391854,391854,0,11608146,0.0326545,0.9673455,0.200629248,5.943370752,6.144,metadata
