metric,column,label,group_type,group_value,n_chem,n_hpf,chem_median,chem_ci_lo,chem_ci_hi,hpf_median,hpf_ci_lo,hpf_ci_hi,diff_median,diff_ci_lo,diff_ci_hi,mw_u,mw_p,cliff_delta,direction
volume_fraction,ecs_fraction,ECS frac,tissue,Cortex,7,3,0.10672021875,0.047894216,0.166039225,0.199755046875,0.09585281632653062,0.6904525925925926,-0.09303482812500001,-0.6425583765925926,0.0701864086734694,5.0,0.26666666666666666,-0.5238095238095238,HPF>Chem
volume_fraction,ecs_fraction,ECS frac,tissue,Kidney,7,4,0.35577437037037035,0.1949563125,0.5971692916666667,0.1279365185185185,0.08989246212121212,0.6475103673469388,0.22783785185185185,-0.29173599697656843,0.48859136574074075,19.0,0.4121212121212121,0.35714285714285715,Chem>HPF
volume_fraction,ecs_fraction,ECS frac,tissue,Liver,7,10,0.226067015625,0.1921095,0.2686135625,0.03958835185185185,0.025327875,0.10157751851851853,0.18647866377314815,0.11757145023148148,0.240137075,64.0,0.0030851501439736733,0.8285714285714286,Chem>HPF
volume_fraction,ecs_fraction,ECS frac,region_group,Bile canaliculus,3,4,0.1921095,0.176060265625,0.226067015625,0.07334092592592593,0.03905522222222222,0.14279451851851852,0.11876857407407405,0.049314981481481474,0.18398723784722223,12.0,0.05714285714285714,1.0,Chem>HPF
volume_fraction,ecs_fraction,ECS frac,region_group,DCT base,2,3,0.2491085546875,0.1949563125,0.303260796875,0.10857792592592592,0.08989246212121212,0.1472951111111111,0.14053062876157407,0.04766120138888891,0.2133683347537879,6.0,0.2,1.0,Chem>HPF
volume_fraction,cell_fraction,cell frac,tissue,Cortex,7,3,0.89327978125,0.833960775,0.952105784,0.800244953125,0.3095474074074074,0.9041471836734694,0.09303482812499997,-0.07018640867346937,0.6425583765925926,16.0,0.26666666666666666,0.5238095238095238,Chem>HPF
volume_fraction,cell_fraction,cell frac,tissue,Kidney,7,4,0.6442256296296296,0.40283070833333334,0.8050436875,0.8720634814814814,0.3524896326530612,0.9101075378787878,-0.2278378518518518,-0.4979340976430976,0.2917359969765684,9.0,0.4121212121212121,-0.35714285714285715,HPF>Chem
volume_fraction,cell_fraction,cell frac,tissue,Liver,7,10,0.773932984375,0.7313864375,0.8078905,0.9604116481481482,0.8984224814814815,0.974672125,-0.18647866377314815,-0.24050301562499998,-0.11757145023148152,6.0,0.0030851501439736733,-0.8285714285714286,HPF>Chem
volume_fraction,cell_fraction,cell frac,region_group,Bile canaliculus,3,4,0.8078905,0.773932984375,0.823939734375,0.9266590740740741,0.8572054814814815,0.9609447777777778,-0.11876857407407415,-0.18398723784722226,-0.0493149814814815,0.0,0.05714285714285714,-1.0,HPF>Chem
volume_fraction,cell_fraction,cell frac,region_group,DCT base,2,3,0.7508914296875,0.696739171875,0.8050436875,0.891422074074074,0.8527048888888888,0.9101075378787878,-0.14053064438657403,-0.21336836600378783,-0.04766120138888885,0.0,0.2,-1.0,HPF>Chem
