metric,column,label,tissue,prep,n,mean,median
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Cortex,Chemical,7,9.656559706037918,8.0
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Heart,Chemical,3,15.914983426849778,16.0
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Kidney,Chemical,7,15.240959154463832,16.0
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Liver,Chemical,12,15.106832809980753,16.0
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Cortex,Chemical,7,17.017925569193988,8.0
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Heart,Chemical,3,32.4632814223235,29.93325909419153
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Kidney,Chemical,7,37.438405377975535,40.0
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Liver,Chemical,12,25.749012502693937,23.31370849898476
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Cortex,Chemical,7,31.120038616180718,11.313708498984761
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Heart,Chemical,3,71.18474295641303,61.44916598294886
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Kidney,Chemical,7,73.33158226383902,70.19971509913698
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Liver,Chemical,12,51.66423101173507,45.90890230020665
ecs_width,narrow_fraction,frac <200nm,Cortex,Chemical,7,0.9699392852508792,1.0
ecs_width,narrow_fraction,frac <200nm,Heart,Chemical,3,0.8798826006467309,0.9960024680758148
ecs_width,narrow_fraction,frac <200nm,Kidney,Chemical,7,0.8983091347820669,0.999461066642751
ecs_width,narrow_fraction,frac <200nm,Liver,Chemical,12,0.9746288953027237,0.9995953082142017
voronoi_gap,percentiles_nm_p25,gap p25 nm,Cortex,Chemical,7,26.62003284558165,24.0
voronoi_gap,percentiles_nm_p25,gap p25 nm,Heart,Chemical,3,49.14782720236701,57.16041532081272
voronoi_gap,percentiles_nm_p25,gap p25 nm,Kidney,Chemical,7,38.86428599456221,33.17011495953578
voronoi_gap,percentiles_nm_p25,gap p25 nm,Liver,Chemical,12,46.45253439864522,48.0
voronoi_gap,percentiles_nm_p50,gap p50 nm,Cortex,Chemical,7,32.808061333001916,27.31370849898476
voronoi_gap,percentiles_nm_p50,gap p50 nm,Heart,Chemical,3,74.48750203351618,76.81231704527967
voronoi_gap,percentiles_nm_p50,gap p50 nm,Kidney,Chemical,7,67.13538277083248,54.62741699796952
voronoi_gap,percentiles_nm_p50,gap p50 nm,Liver,Chemical,12,65.60412487166178,57.91560980209512
