metric,column,label,region_group,chem_n,chem_mean,chem_median,hpf_n,hpf_mean,hpf_median
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Bile canaliculus,3,12.161274486173513,11.313708498984761,4,12.82842712474619,13.65685424949238
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Cardiac interstitial,2,16.94427190999916,16.94427190999916,2,16.94427190999916,16.94427190999916
ecs_width,narrow_percentiles_nm_p25,width p25 nm,DCT base,1,11.313708498984761,11.313708498984761,3,8.0,8.0
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Glomerular,2,18.74223088113187,18.74223088113187,2,20.64911064067352,20.64911064067352
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Hepatocyte lateral,6,9.648090636666387,8.0,6,8.552284749830793,8.0
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Intercalated disc,2,10.928203230275509,10.928203230275509,2,13.797958971132712,13.797958971132712
ecs_width,narrow_percentiles_nm_p25,width p25 nm,PCT lateral,1,8.0,8.0,1,8.0,8.0
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Bile canaliculus,3,30.06588299962214,33.94112549695428,4,28.283240345371283,28.97056274847714
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Cardiac interstitial,2,33.728292586389486,33.728292586389486,2,35.3627076014669,35.3627076014669
ecs_width,narrow_percentiles_nm_p50,width p50 nm,DCT base,1,24.0,24.0,3,12.161274486173513,11.313708498984761
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Glomerular,2,36.970562748477136,36.970562748477136,2,43.04809272389409,43.04809272389409
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Hepatocyte lateral,6,17.6438096464383,16.0,6,12.539891129716887,11.313708498984761
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Intercalated disc,2,22.966629547095764,22.966629547095764,2,25.540659228538015,25.540659228538015
ecs_width,narrow_percentiles_nm_p50,width p50 nm,PCT lateral,1,8.0,8.0,1,13.856406460551018,13.856406460551018
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Bile canaliculus,3,70.15836037666905,72.0,4,56.736370390353024,54.17601498127012
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Cardiac interstitial,2,81.47889315327251,81.47889315327251,2,74.4387194126662,74.4387194126662
ecs_width,narrow_percentiles_nm_p75,width p75 nm,DCT base,1,45.254833995939045,45.254833995939045,3,18.457668527420687,17.88854381999832
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Glomerular,2,65.29919529065148,65.29919529065148,2,76.55921568790309,76.55921568790309
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Hepatocyte lateral,6,35.5258619444138,35.59591794226542,6,22.73787436974098,16.94427190999916
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Intercalated disc,2,36.6119297803318,36.6119297803318,2,40.756711799060874,40.756711799060874
ecs_width,narrow_percentiles_nm_p75,width p75 nm,PCT lateral,1,16.0,16.0,1,22.627416997969522,22.627416997969522
ecs_width,narrow_fraction,frac <200nm,Bile canaliculus,3,0.9505968260032739,0.9957070509888786,4,0.9917373501733021,0.998400965801342
ecs_width,narrow_fraction,frac <200nm,Cardiac interstitial,2,0.8198239009700963,0.8198239009700963,2,0.9502030954332805,0.9502030954332805
ecs_width,narrow_fraction,frac <200nm,DCT base,1,1.0,1.0,3,1.0,1.0
ecs_width,narrow_fraction,frac <200nm,Glomerular,2,0.9903850570978818,0.9903850570978818,2,0.827557885017953,0.827557885017953
ecs_width,narrow_fraction,frac <200nm,Hepatocyte lateral,6,0.9997307331297183,0.9999985514552081,6,0.9982066311504953,1.0
ecs_width,narrow_fraction,frac <200nm,Intercalated disc,2,1.0,1.0,2,0.9999740185346825,0.9999740185346825
ecs_width,narrow_fraction,frac <200nm,PCT lateral,1,1.0,1.0,1,1.0,1.0
voronoi_gap,percentiles_nm_p25,gap p25 nm,Bile canaliculus,3,35.40777831341165,32.0,4,32.58505747976789,34.241911729260266
voronoi_gap,percentiles_nm_p25,gap p25 nm,Cardiac interstitial,2,61.72174080355052,61.72174080355052,2,53.797958971132715,53.797958971132715
voronoi_gap,percentiles_nm_p25,gap p25 nm,DCT base,1,24.0,24.0,3,33.588677633933735,32.0
voronoi_gap,percentiles_nm_p25,gap p25 nm,Glomerular,2,64.51174027092435,64.51174027092435,2,68.96986227707436,68.96986227707436
voronoi_gap,percentiles_nm_p25,gap p25 nm,Hepatocyte lateral,6,32.2197556705849,27.31370849898476,6,29.742847719153687,27.31370849898476
voronoi_gap,percentiles_nm_p25,gap p25 nm,Intercalated disc,2,35.59591794226542,35.59591794226542,2,37.111667470117474,37.111667470117474
voronoi_gap,percentiles_nm_p25,gap p25 nm,PCT lateral,1,24.0,24.0,1,35.31370849898476,35.31370849898476
voronoi_gap,percentiles_nm_p50,gap p50 nm,Bile canaliculus,3,56.819545534053255,57.29822128134704,4,58.84758543160123,53.760778110790994
voronoi_gap,percentiles_nm_p50,gap p50 nm,Cardiac interstitial,2,79.49812434175692,79.49812434175692,2,90.87649079624927,90.87649079624927
voronoi_gap,percentiles_nm_p50,gap p50 nm,DCT base,1,33.17011495953578,33.17011495953578,3,39.188067721016566,41.452324402816444
voronoi_gap,percentiles_nm_p50,gap p50 nm,Glomerular,2,111.86259924142362,111.86259924142362,2,125.22391567878499,125.22391567878499
voronoi_gap,percentiles_nm_p50,gap p50 nm,Hepatocyte lateral,6,43.16491598121332,28.970562748477143,6,37.15727573389381,31.31370849898476
voronoi_gap,percentiles_nm_p50,gap p50 nm,Intercalated disc,2,59.54683720750212,59.54683720750212,2,97.94109938307034,97.94109938307034
voronoi_gap,percentiles_nm_p50,gap p50 nm,PCT lateral,1,29.856406460551018,29.856406460551018,1,41.88854381999832,41.88854381999832
voronoi_gap,percentiles_nm_p75,gap p75 nm,Bile canaliculus,3,164.5972488956315,158.79086241436883,4,117.34127986571792,120.99160428654687
voronoi_gap,percentiles_nm_p75,gap p75 nm,Cardiac interstitial,2,121.54065922853802,121.54065922853802,2,155.02035147070427,155.02035147070427
voronoi_gap,percentiles_nm_p75,gap p75 nm,DCT base,1,121.13708498984761,121.13708498984761,3,50.11173790015607,50.22333494023495
voronoi_gap,percentiles_nm_p75,gap p75 nm,Glomerular,2,169.14831341969938,169.14831341969938,2,190.7930948335178,190.7930948335178
voronoi_gap,percentiles_nm_p75,gap p75 nm,Hepatocyte lateral,6,68.7264747867781,47.68650279113103,6,51.3195594697594,40.39908513062425
