metric,column,label,tissue,prep,n,mean,median
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Cortex,Chemical,7,9.656559706037918,8.0
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Cortex,Rapid HPF,5,8.0,8.0
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Heart,Chemical,4,13.936237570137333,14.928203230275509
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Heart,Rapid HPF,4,15.371115440565935,16.94427190999916
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Kidney,Chemical,7,15.240959154463832,16.0
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Kidney,Rapid HPF,6,12.21637021355784,8.0
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Liver,Chemical,12,11.77349947664742,11.313708498984761
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Liver,Rapid HPF,10,10.262741699796953,8.0
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Cortex,Chemical,7,17.017925569193988,8.0
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Cortex,Rapid HPF,5,11.313708498984761,11.313708498984761
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Heart,Chemical,4,28.347461066742625,29.93325909419153
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Heart,Rapid HPF,4,30.45168341500246,35.3627076014669
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Kidney,Chemical,7,37.438405377975535,40.0
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Kidney,Rapid HPF,6,22.73940256114329,13.856406460551018
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Liver,Chemical,12,24.296915446111733,21.79795897113271
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Liver,Rapid HPF,10,18.837230815978643,13.65685424949238
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Cortex,Chemical,7,31.120038616180718,11.313708498984761
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Cortex,Rapid HPF,5,20.318253947862303,17.88854381999832
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Heart,Chemical,4,59.04541146680216,56.02280427282147
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Heart,Rapid HPF,4,57.597715605863534,60.712354499299884
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Kidney,Chemical,7,73.33158226383902,70.19971509913698
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Kidney,Rapid HPF,6,38.519808992672964,21.111667470117474
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Liver,Chemical,12,50.423051031788496,43.44956152874466
