metric,column,label,tissue,prep,n,mean,median
volume_fraction,ecs_fraction,ECS frac,Cortex,Chemical,7,0.13310496344642858,0.10672021875
volume_fraction,ecs_fraction,ECS frac,Cortex,Rapid HPF,2,0.14780393160076533,0.14780393160076533
volume_fraction,ecs_fraction,ECS frac,Heart,Chemical,4,0.180233959375,0.1576323875
volume_fraction,ecs_fraction,ECS frac,Heart,Rapid HPF,4,0.21166053958333333,0.20784599999999998
volume_fraction,ecs_fraction,ECS frac,Kidney,Chemical,7,0.37930656929136286,0.35577437037037035
volume_fraction,ecs_fraction,ECS frac,Kidney,Rapid HPF,6,0.23859249395456836,0.1279365185185185
volume_fraction,ecs_fraction,ECS frac,Liver,Chemical,12,0.17339711956431877,0.1840848828125
volume_fraction,ecs_fraction,ECS frac,Liver,Rapid HPF,10,0.07469432728835979,0.03958835185185185
volume_fraction,cell_fraction,cell frac,Cortex,Chemical,7,0.8668950365535715,0.89327978125
volume_fraction,cell_fraction,cell frac,Cortex,Rapid HPF,2,0.8521960683992347,0.8521960683992347
volume_fraction,cell_fraction,cell frac,Heart,Chemical,4,0.819766040625,0.8423676124999999
volume_fraction,cell_fraction,cell frac,Heart,Rapid HPF,4,0.7883394604166667,0.792154
volume_fraction,cell_fraction,cell frac,Kidney,Chemical,7,0.6206934262443514,0.6442256296296296
volume_fraction,cell_fraction,cell frac,Kidney,Rapid HPF,6,0.7614075060454316,0.8720634814814814
volume_fraction,cell_fraction,cell frac,Liver,Chemical,12,0.8266028804356812,0.8159151171875
volume_fraction,cell_fraction,cell frac,Liver,Rapid HPF,10,0.9253056727116402,0.9604116481481482
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Cortex,Chemical,7,5.141022432759391,2.8284271247461903
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Cortex,Rapid HPF,2,8.0,8.0
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Heart,Chemical,4,13.936237570137333,14.928203230275509
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Heart,Rapid HPF,4,15.371115440565935,16.94427190999916
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Kidney,Chemical,7,13.024958997647897,14.422205101855956
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Kidney,Rapid HPF,6,12.21637021355784,8.0
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Liver,Chemical,12,10.778613439715791,9.371115440565935
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Liver,Rapid HPF,10,10.262741699796953,8.0
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Cortex,Chemical,7,13.889417736177702,6.0
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Cortex,Rapid HPF,2,11.313708498984761,11.313708498984761
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Heart,Chemical,4,28.347461066742625,29.93325909419153
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Heart,Rapid HPF,4,30.45168341500246,35.3627076014669
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Kidney,Chemical,7,36.81005733260013,39.395431207184416
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Kidney,Rapid HPF,6,22.73940256114329,13.856406460551018
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Liver,Chemical,12,23.56818093840651,20.119602540015002
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Liver,Rapid HPF,10,18.837230815978643,13.65685424949238
